postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9553_0000.tif,web/9553_0000_web.jpg,thumb/9553_0000_thumb.jpg
2,Inside Front Cover,master/9553_0001.tif,web/9553_0001_web.jpg,thumb/9553_0001_thumb.jpg
3,i,master/9553_0002.tif,web/9553_0002_web.jpg,thumb/9553_0002_thumb.jpg
4,ii,master/9553_0003.tif,web/9553_0003_web.jpg,thumb/9553_0003_thumb.jpg
5,iii,master/9553_0004.tif,web/9553_0004_web.jpg,thumb/9553_0004_thumb.jpg
6,iv,master/9553_0005.tif,web/9553_0005_web.jpg,thumb/9553_0005_thumb.jpg
7,v,master/9553_0006.tif,web/9553_0006_web.jpg,thumb/9553_0006_thumb.jpg
8,vi,master/9553_0007.tif,web/9553_0007_web.jpg,thumb/9553_0007_thumb.jpg
9,vii,master/9553_0008.tif,web/9553_0008_web.jpg,thumb/9553_0008_thumb.jpg
10,viii,master/9553_0009.tif,web/9553_0009_web.jpg,thumb/9553_0009_thumb.jpg
11,viii,master/9553_0010.tif,web/9553_0010_web.jpg,thumb/9553_0010_thumb.jpg
12,x,master/9553_0011.tif,web/9553_0011_web.jpg,thumb/9553_0011_thumb.jpg
13,xi,master/9553_0012.tif,web/9553_0012_web.jpg,thumb/9553_0012_thumb.jpg
14,xii,master/9553_0013.tif,web/9553_0013_web.jpg,thumb/9553_0013_thumb.jpg
15,xiii,master/9553_0014.tif,web/9553_0014_web.jpg,thumb/9553_0014_thumb.jpg
16,1,master/9553_0015.tif,web/9553_0015_web.jpg,thumb/9553_0015_thumb.jpg
17,1,master/9553_0016.tif,web/9553_0016_web.jpg,thumb/9553_0016_thumb.jpg
18,2,master/9553_0017.tif,web/9553_0017_web.jpg,thumb/9553_0017_thumb.jpg
19,2,master/9553_0018.tif,web/9553_0018_web.jpg,thumb/9553_0018_thumb.jpg
20,3,master/9553_0019.tif,web/9553_0019_web.jpg,thumb/9553_0019_thumb.jpg
21,3,master/9553_0020.tif,web/9553_0020_web.jpg,thumb/9553_0020_thumb.jpg
22,4,master/9553_0021.tif,web/9553_0021_web.jpg,thumb/9553_0021_thumb.jpg
23,4,master/9553_0022.tif,web/9553_0022_web.jpg,thumb/9553_0022_thumb.jpg
24,5,master/9553_0023.tif,web/9553_0023_web.jpg,thumb/9553_0023_thumb.jpg
25,5,master/9553_0024.tif,web/9553_0024_web.jpg,thumb/9553_0024_thumb.jpg
26,6,master/9553_0025.tif,web/9553_0025_web.jpg,thumb/9553_0025_thumb.jpg
27,6,master/9553_0026.tif,web/9553_0026_web.jpg,thumb/9553_0026_thumb.jpg
28,7,master/9553_0027.tif,web/9553_0027_web.jpg,thumb/9553_0027_thumb.jpg
29,7,master/9553_0028.tif,web/9553_0028_web.jpg,thumb/9553_0028_thumb.jpg
30,8,master/9553_0029.tif,web/9553_0029_web.jpg,thumb/9553_0029_thumb.jpg
31,8,master/9553_0030.tif,web/9553_0030_web.jpg,thumb/9553_0030_thumb.jpg
32,9,master/9553_0031.tif,web/9553_0031_web.jpg,thumb/9553_0031_thumb.jpg
33,9,master/9553_0032.tif,web/9553_0032_web.jpg,thumb/9553_0032_thumb.jpg
34,10,master/9553_0033.tif,web/9553_0033_web.jpg,thumb/9553_0033_thumb.jpg
35,10,master/9553_0034.tif,web/9553_0034_web.jpg,thumb/9553_0034_thumb.jpg
36,11,master/9553_0035.tif,web/9553_0035_web.jpg,thumb/9553_0035_thumb.jpg
37,11,master/9553_0036.tif,web/9553_0036_web.jpg,thumb/9553_0036_thumb.jpg
38,12,master/9553_0037.tif,web/9553_0037_web.jpg,thumb/9553_0037_thumb.jpg
39,12,master/9553_0038.tif,web/9553_0038_web.jpg,thumb/9553_0038_thumb.jpg
40,13,master/9553_0039.tif,web/9553_0039_web.jpg,thumb/9553_0039_thumb.jpg
41,13,master/9553_0040.tif,web/9553_0040_web.jpg,thumb/9553_0040_thumb.jpg
42,14,master/9553_0041.tif,web/9553_0041_web.jpg,thumb/9553_0041_thumb.jpg
43,14,master/9553_0042.tif,web/9553_0042_web.jpg,thumb/9553_0042_thumb.jpg
