postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9556_0000.tif,web/9556_0000_web.jpg,thumb/9556_0000_thumb.jpg
2,Flyleaf 1 verso,master/9556_0001.tif,web/9556_0001_web.jpg,thumb/9556_0001_thumb.jpg
3,Title recto,master/9556_0002.tif,web/9556_0002_web.jpg,thumb/9556_0002_thumb.jpg
4,1,master/9556_0003.tif,web/9556_0003_web.jpg,thumb/9556_0003_thumb.jpg
5,1,master/9556_0004.tif,web/9556_0004_web.jpg,thumb/9556_0004_thumb.jpg
6,2,master/9556_0005.tif,web/9556_0005_web.jpg,thumb/9556_0005_thumb.jpg
7,2,master/9556_0006.tif,web/9556_0006_web.jpg,thumb/9556_0006_thumb.jpg
8,3,master/9556_0007.tif,web/9556_0007_web.jpg,thumb/9556_0007_thumb.jpg
9,3,master/9556_0008.tif,web/9556_0008_web.jpg,thumb/9556_0008_thumb.jpg
10,4,master/9556_0009.tif,web/9556_0009_web.jpg,thumb/9556_0009_thumb.jpg
11,4,master/9556_0010.tif,web/9556_0010_web.jpg,thumb/9556_0010_thumb.jpg
12,5,master/9556_0011.tif,web/9556_0011_web.jpg,thumb/9556_0011_thumb.jpg
13,5,master/9556_0012.tif,web/9556_0012_web.jpg,thumb/9556_0012_thumb.jpg
14,6,master/9556_0013.tif,web/9556_0013_web.jpg,thumb/9556_0013_thumb.jpg
15,6,master/9556_0014.tif,web/9556_0014_web.jpg,thumb/9556_0014_thumb.jpg
16,7,master/9556_0015.tif,web/9556_0015_web.jpg,thumb/9556_0015_thumb.jpg
17,7,master/9556_0016.tif,web/9556_0016_web.jpg,thumb/9556_0016_thumb.jpg
18,8,master/9556_0017.tif,web/9556_0017_web.jpg,thumb/9556_0017_thumb.jpg
19,8,master/9556_0018.tif,web/9556_0018_web.jpg,thumb/9556_0018_thumb.jpg
20,9,master/9556_0019.tif,web/9556_0019_web.jpg,thumb/9556_0019_thumb.jpg
21,9,master/9556_0020.tif,web/9556_0020_web.jpg,thumb/9556_0020_thumb.jpg
22,10,master/9556_0021.tif,web/9556_0021_web.jpg,thumb/9556_0021_thumb.jpg
23,10,master/9556_0022.tif,web/9556_0022_web.jpg,thumb/9556_0022_thumb.jpg
24,11,master/9556_0023.tif,web/9556_0023_web.jpg,thumb/9556_0023_thumb.jpg
25,11,master/9556_0024.tif,web/9556_0024_web.jpg,thumb/9556_0024_thumb.jpg
26,12,master/9556_0025.tif,web/9556_0025_web.jpg,thumb/9556_0025_thumb.jpg
27,12,master/9556_0026.tif,web/9556_0026_web.jpg,thumb/9556_0026_thumb.jpg
28,13,master/9556_0027.tif,web/9556_0027_web.jpg,thumb/9556_0027_thumb.jpg
29,13,master/9556_0028.tif,web/9556_0028_web.jpg,thumb/9556_0028_thumb.jpg
30,14,master/9556_0029.tif,web/9556_0029_web.jpg,thumb/9556_0029_thumb.jpg
31,14,master/9556_0030.tif,web/9556_0030_web.jpg,thumb/9556_0030_thumb.jpg
32,15,master/9556_0031.tif,web/9556_0031_web.jpg,thumb/9556_0031_thumb.jpg
33,15,master/9556_0032.tif,web/9556_0032_web.jpg,thumb/9556_0032_thumb.jpg
34,16,master/9556_0033.tif,web/9556_0033_web.jpg,thumb/9556_0033_thumb.jpg
35,16,master/9556_0034.tif,web/9556_0034_web.jpg,thumb/9556_0034_thumb.jpg
36,17,master/9556_0035.tif,web/9556_0035_web.jpg,thumb/9556_0035_thumb.jpg
37,17,master/9556_0036.tif,web/9556_0036_web.jpg,thumb/9556_0036_thumb.jpg
38,18,master/9556_0037.tif,web/9556_0037_web.jpg,thumb/9556_0037_thumb.jpg
39,18,master/9556_0038.tif,web/9556_0038_web.jpg,thumb/9556_0038_thumb.jpg
40,19,master/9556_0039.tif,web/9556_0039_web.jpg,thumb/9556_0039_thumb.jpg
41,19,master/9556_0040.tif,web/9556_0040_web.jpg,thumb/9556_0040_thumb.jpg
42,20,master/9556_0041.tif,web/9556_0041_web.jpg,thumb/9556_0041_thumb.jpg
43,20,master/9556_0042.tif,web/9556_0042_web.jpg,thumb/9556_0042_thumb.jpg
44,21,master/9556_0043.tif,web/9556_0043_web.jpg,thumb/9556_0043_thumb.jpg
45,21,master/9556_0044.tif,web/9556_0044_web.jpg,thumb/9556_0044_thumb.jpg
46,22,master/9556_0045.tif,web/9556_0045_web.jpg,thumb/9556_0045_thumb.jpg
