postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/12083_0000.tif,web/12083_0000_web.jpg,thumb/12083_0000_thumb.jpg
2,Inside front cover,master/12083_0001.tif,web/12083_0001_web.jpg,thumb/12083_0001_thumb.jpg
3,Flyleaf 1,master/12083_0002.tif,web/12083_0002_web.jpg,thumb/12083_0002_thumb.jpg
4,p. i,master/12083_0003.tif,web/12083_0003_web.jpg,thumb/12083_0003_thumb.jpg
5,p. ii,master/12083_0004.tif,web/12083_0004_web.jpg,thumb/12083_0004_thumb.jpg
6,p. iii,master/12083_0005.tif,web/12083_0005_web.jpg,thumb/12083_0005_thumb.jpg
7,p. iv,master/12083_0006.tif,web/12083_0006_web.jpg,thumb/12083_0006_thumb.jpg
8,p. v,master/12083_0007.tif,web/12083_0007_web.jpg,thumb/12083_0007_thumb.jpg
9,p. vi,master/12083_0008.tif,web/12083_0008_web.jpg,thumb/12083_0008_thumb.jpg
10,p. vii,master/12083_0009.tif,web/12083_0009_web.jpg,thumb/12083_0009_thumb.jpg
11,p. viii,master/12083_0010.tif,web/12083_0010_web.jpg,thumb/12083_0010_thumb.jpg
12,p. ix,master/12083_0011.tif,web/12083_0011_web.jpg,thumb/12083_0011_thumb.jpg
13,p. x,master/12083_0012.tif,web/12083_0012_web.jpg,thumb/12083_0012_thumb.jpg
14,p. xi,master/12083_0013.tif,web/12083_0013_web.jpg,thumb/12083_0013_thumb.jpg
15,p. xii,master/12083_0014.tif,web/12083_0014_web.jpg,thumb/12083_0014_thumb.jpg
16,p. xiii,master/12083_0015.tif,web/12083_0015_web.jpg,thumb/12083_0015_thumb.jpg
17,p. xiv,master/12083_0016.tif,web/12083_0016_web.jpg,thumb/12083_0016_thumb.jpg
18,p. xv,master/12083_0017.tif,web/12083_0017_web.jpg,thumb/12083_0017_thumb.jpg
19,p. xvi,master/12083_0018.tif,web/12083_0018_web.jpg,thumb/12083_0018_thumb.jpg
20,p. xvii,master/12083_0019.tif,web/12083_0019_web.jpg,thumb/12083_0019_thumb.jpg
21,p. xviii,master/12083_0020.tif,web/12083_0020_web.jpg,thumb/12083_0020_thumb.jpg
22,p. xix,master/12083_0021.tif,web/12083_0021_web.jpg,thumb/12083_0021_thumb.jpg
23,p. xx,master/12083_0022.tif,web/12083_0022_web.jpg,thumb/12083_0022_thumb.jpg
24,p. xxi,master/12083_0023.tif,web/12083_0023_web.jpg,thumb/12083_0023_thumb.jpg
25,p. xxii,master/12083_0024.tif,web/12083_0024_web.jpg,thumb/12083_0024_thumb.jpg
26,p. xxiii,master/12083_0025.tif,web/12083_0025_web.jpg,thumb/12083_0025_thumb.jpg
27,p. xxiv,master/12083_0026.tif,web/12083_0026_web.jpg,thumb/12083_0026_thumb.jpg
28,p. 1,master/12083_0027.tif,web/12083_0027_web.jpg,thumb/12083_0027_thumb.jpg
