postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,front,master/13534_0000.jpg,web/13534_0000_web.jpg,thumb/13534_0000_thumb.jpg
2,front-i,master/13534_0001.jpg,web/13534_0001_web.jpg,thumb/13534_0001_thumb.jpg
3,1r,master/13534_0002.jpg,web/13534_0002_web.jpg,thumb/13534_0002_thumb.jpg
4,1v,master/13534_0003.jpg,web/13534_0003_web.jpg,thumb/13534_0003_thumb.jpg
5,2r,master/13534_0004.jpg,web/13534_0004_web.jpg,thumb/13534_0004_thumb.jpg
6,2v,master/13534_0005.jpg,web/13534_0005_web.jpg,thumb/13534_0005_thumb.jpg
7,3r,master/13534_0006.jpg,web/13534_0006_web.jpg,thumb/13534_0006_thumb.jpg
8,3v,master/13534_0007.jpg,web/13534_0007_web.jpg,thumb/13534_0007_thumb.jpg
9,4r,master/13534_0008.jpg,web/13534_0008_web.jpg,thumb/13534_0008_thumb.jpg
10,4v,master/13534_0009.jpg,web/13534_0009_web.jpg,thumb/13534_0009_thumb.jpg
11,5r,master/13534_0010.jpg,web/13534_0010_web.jpg,thumb/13534_0010_thumb.jpg
12,5v,master/13534_0011.jpg,web/13534_0011_web.jpg,thumb/13534_0011_thumb.jpg
13,6r,master/13534_0012.jpg,web/13534_0012_web.jpg,thumb/13534_0012_thumb.jpg
14,6v,master/13534_0013.jpg,web/13534_0013_web.jpg,thumb/13534_0013_thumb.jpg
15,17v,master/13534_0014.jpg,web/13534_0014_web.jpg,thumb/13534_0014_thumb.jpg
16,18r,master/13534_0015.jpg,web/13534_0015_web.jpg,thumb/13534_0015_thumb.jpg
17,18v,master/13534_0016.jpg,web/13534_0016_web.jpg,thumb/13534_0016_thumb.jpg
18,19r,master/13534_0017.jpg,web/13534_0017_web.jpg,thumb/13534_0017_thumb.jpg
19,19v,master/13534_0018.jpg,web/13534_0018_web.jpg,thumb/13534_0018_thumb.jpg
20,20r,master/13534_0019.jpg,web/13534_0019_web.jpg,thumb/13534_0019_thumb.jpg
21,20v,master/13534_0020.jpg,web/13534_0020_web.jpg,thumb/13534_0020_thumb.jpg
22,21r,master/13534_0021.jpg,web/13534_0021_web.jpg,thumb/13534_0021_thumb.jpg
23,21v,master/13534_0022.jpg,web/13534_0022_web.jpg,thumb/13534_0022_thumb.jpg
24,22r,master/13534_0023.jpg,web/13534_0023_web.jpg,thumb/13534_0023_thumb.jpg
25,22v,master/13534_0024.jpg,web/13534_0024_web.jpg,thumb/13534_0024_thumb.jpg
26,23r,master/13534_0025.jpg,web/13534_0025_web.jpg,thumb/13534_0025_thumb.jpg
27,23v,master/13534_0026.jpg,web/13534_0026_web.jpg,thumb/13534_0026_thumb.jpg
28,24r,master/13534_0027.jpg,web/13534_0027_web.jpg,thumb/13534_0027_thumb.jpg
29,24v,master/13534_0028.jpg,web/13534_0028_web.jpg,thumb/13534_0028_thumb.jpg
30,25r,master/13534_0029.jpg,web/13534_0029_web.jpg,thumb/13534_0029_thumb.jpg
31,25v,master/13534_0030.jpg,web/13534_0030_web.jpg,thumb/13534_0030_thumb.jpg
32,26r,master/13534_0031.jpg,web/13534_0031_web.jpg,thumb/13534_0031_thumb.jpg
33,26v,master/13534_0032.jpg,web/13534_0032_web.jpg,thumb/13534_0032_thumb.jpg
34,27r,master/13534_0033.jpg,web/13534_0033_web.jpg,thumb/13534_0033_thumb.jpg
35,27v,master/13534_0034.jpg,web/13534_0034_web.jpg,thumb/13534_0034_thumb.jpg
36,28r,master/13534_0035.jpg,web/13534_0035_web.jpg,thumb/13534_0035_thumb.jpg
37,39v,master/13534_0036.jpg,web/13534_0036_web.jpg,thumb/13534_0036_thumb.jpg
38,40r,master/13534_0037.jpg,web/13534_0037_web.jpg,thumb/13534_0037_thumb.jpg
39,40v,master/13534_0038.jpg,web/13534_0038_web.jpg,thumb/13534_0038_thumb.jpg
40,41r,master/13534_0039.jpg,web/13534_0039_web.jpg,thumb/13534_0039_thumb.jpg
41,41v,master/13534_0040.jpg,web/13534_0040_web.jpg,thumb/13534_0040_thumb.jpg
42,42r,master/13534_0041.jpg,web/13534_0041_web.jpg,thumb/13534_0041_thumb.jpg
43,42v,master/13534_0042.jpg,web/13534_0042_web.jpg,thumb/13534_0042_thumb.jpg
44,43r,master/13534_0043.jpg,web/13534_0043_web.jpg,thumb/13534_0043_thumb.jpg
45,43v,master/13534_0044.jpg,web/13534_0044_web.jpg,thumb/13534_0044_thumb.jpg
46,44r,master/13534_0045.jpg,web/13534_0045_web.jpg,thumb/13534_0045_thumb.jpg
47,44v,master/13534_0046.jpg,web/13534_0046_web.jpg,thumb/13534_0046_thumb.jpg
48,45r,master/13534_0047.jpg,web/13534_0047_web.jpg,thumb/13534_0047_thumb.jpg
49,45v,master/13534_0048.jpg,web/13534_0048_web.jpg,thumb/13534_0048_thumb.jpg
50,46r,master/13534_0049.jpg,web/13534_0049_web.jpg,thumb/13534_0049_thumb.jpg
51,46v,master/13534_0050.jpg,web/13534_0050_web.jpg,thumb/13534_0050_thumb.jpg
