postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,front,master/12957_0000.jpg,web/12957_0000_web.jpg,thumb/12957_0000_thumb.jpg
2,i-r,master/12957_0001.jpg,web/12957_0001_web.jpg,thumb/12957_0001_thumb.jpg
3,ii-r,master/12957_0002.jpg,web/12957_0002_web.jpg,thumb/12957_0002_thumb.jpg
4,iii-r,master/12957_0003.jpg,web/12957_0003_web.jpg,thumb/12957_0003_thumb.jpg
5,iv-r,master/12957_0004.jpg,web/12957_0004_web.jpg,thumb/12957_0004_thumb.jpg
6,v-r,master/12957_0005.jpg,web/12957_0005_web.jpg,thumb/12957_0005_thumb.jpg
7,vi-r,master/12957_0006.jpg,web/12957_0006_web.jpg,thumb/12957_0006_thumb.jpg
8,vii-r,master/12957_0007.jpg,web/12957_0007_web.jpg,thumb/12957_0007_thumb.jpg
9,1r,master/12957_0008.jpg,web/12957_0008_web.jpg,thumb/12957_0008_thumb.jpg
10,2r,master/12957_0009.jpg,web/12957_0009_web.jpg,thumb/12957_0009_thumb.jpg
11,3r,master/12957_0010.jpg,web/12957_0010_web.jpg,thumb/12957_0010_thumb.jpg
12,4r,master/12957_0011.jpg,web/12957_0011_web.jpg,thumb/12957_0011_thumb.jpg
13,5r,master/12957_0012.jpg,web/12957_0012_web.jpg,thumb/12957_0012_thumb.jpg
14,6r,master/12957_0013.jpg,web/12957_0013_web.jpg,thumb/12957_0013_thumb.jpg
15,7r,master/12957_0014.jpg,web/12957_0014_web.jpg,thumb/12957_0014_thumb.jpg
16,8r,master/12957_0015.jpg,web/12957_0015_web.jpg,thumb/12957_0015_thumb.jpg
