postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,front,master/12960_0000.jpg,web/12960_0000_web.jpg,thumb/12960_0000_thumb.jpg
2,front-i,master/12960_0001.jpg,web/12960_0001_web.jpg,thumb/12960_0001_thumb.jpg
3,i-r,master/12960_0002.jpg,web/12960_0002_web.jpg,thumb/12960_0002_thumb.jpg
4,i-v,master/12960_0003.jpg,web/12960_0003_web.jpg,thumb/12960_0003_thumb.jpg
5,ii-r,master/12960_0004.jpg,web/12960_0004_web.jpg,thumb/12960_0004_thumb.jpg
6,ii-v,master/12960_0005.jpg,web/12960_0005_web.jpg,thumb/12960_0005_thumb.jpg
7,iii-r,master/12960_0006.jpg,web/12960_0006_web.jpg,thumb/12960_0006_thumb.jpg
8,iii-v,master/12960_0007.jpg,web/12960_0007_web.jpg,thumb/12960_0007_thumb.jpg
9,1r,master/12960_0008.jpg,web/12960_0008_web.jpg,thumb/12960_0008_thumb.jpg
10,1v,master/12960_0009.jpg,web/12960_0009_web.jpg,thumb/12960_0009_thumb.jpg
11,1r,master/12960_0010.jpg,web/12960_0010_web.jpg,thumb/12960_0010_thumb.jpg
12,1v,master/12960_0011.jpg,web/12960_0011_web.jpg,thumb/12960_0011_thumb.jpg
13,2r,master/12960_0012.jpg,web/12960_0012_web.jpg,thumb/12960_0012_thumb.jpg
14,2v,master/12960_0013.jpg,web/12960_0013_web.jpg,thumb/12960_0013_thumb.jpg
15,2r,master/12960_0014.jpg,web/12960_0014_web.jpg,thumb/12960_0014_thumb.jpg
16,2v,master/12960_0015.jpg,web/12960_0015_web.jpg,thumb/12960_0015_thumb.jpg
17,3r,master/12960_0016.jpg,web/12960_0016_web.jpg,thumb/12960_0016_thumb.jpg
18,3v,master/12960_0017.jpg,web/12960_0017_web.jpg,thumb/12960_0017_thumb.jpg
19,4r,master/12960_0018.jpg,web/12960_0018_web.jpg,thumb/12960_0018_thumb.jpg
20,4v,master/12960_0019.jpg,web/12960_0019_web.jpg,thumb/12960_0019_thumb.jpg
21,5r,master/12960_0020.jpg,web/12960_0020_web.jpg,thumb/12960_0020_thumb.jpg
22,5v,master/12960_0021.jpg,web/12960_0021_web.jpg,thumb/12960_0021_thumb.jpg
23,6r,master/12960_0022.jpg,web/12960_0022_web.jpg,thumb/12960_0022_thumb.jpg
24,6v,master/12960_0023.jpg,web/12960_0023_web.jpg,thumb/12960_0023_thumb.jpg
25,7r,master/12960_0024.jpg,web/12960_0024_web.jpg,thumb/12960_0024_thumb.jpg
26,7v,master/12960_0025.jpg,web/12960_0025_web.jpg,thumb/12960_0025_thumb.jpg
27,8r,master/12960_0026.jpg,web/12960_0026_web.jpg,thumb/12960_0026_thumb.jpg
28,8v,master/12960_0027.jpg,web/12960_0027_web.jpg,thumb/12960_0027_thumb.jpg
29,9r,master/12960_0028.jpg,web/12960_0028_web.jpg,thumb/12960_0028_thumb.jpg
30,9v,master/12960_0029.jpg,web/12960_0029_web.jpg,thumb/12960_0029_thumb.jpg
31,10r,master/12960_0030.jpg,web/12960_0030_web.jpg,thumb/12960_0030_thumb.jpg
32,10v,master/12960_0031.jpg,web/12960_0031_web.jpg,thumb/12960_0031_thumb.jpg
33,11r,master/12960_0032.jpg,web/12960_0032_web.jpg,thumb/12960_0032_thumb.jpg
34,11v,master/12960_0033.jpg,web/12960_0033_web.jpg,thumb/12960_0033_thumb.jpg
35,12r,master/12960_0034.jpg,web/12960_0034_web.jpg,thumb/12960_0034_thumb.jpg
36,12v,master/12960_0035.jpg,web/12960_0035_web.jpg,thumb/12960_0035_thumb.jpg
37,13r,master/12960_0036.jpg,web/12960_0036_web.jpg,thumb/12960_0036_thumb.jpg
38,13v,master/12960_0037.jpg,web/12960_0037_web.jpg,thumb/12960_0037_thumb.jpg
39,14r,master/12960_0038.jpg,web/12960_0038_web.jpg,thumb/12960_0038_thumb.jpg
40,14v,master/12960_0039.jpg,web/12960_0039_web.jpg,thumb/12960_0039_thumb.jpg
41,15r,master/12960_0040.jpg,web/12960_0040_web.jpg,thumb/12960_0040_thumb.jpg
42,15v,master/12960_0041.jpg,web/12960_0041_web.jpg,thumb/12960_0041_thumb.jpg
43,16r,master/12960_0042.jpg,web/12960_0042_web.jpg,thumb/12960_0042_thumb.jpg
44,16v,master/12960_0043.jpg,web/12960_0043_web.jpg,thumb/12960_0043_thumb.jpg
45,17r,master/12960_0044.jpg,web/12960_0044_web.jpg,thumb/12960_0044_thumb.jpg
46,17v,master/12960_0045.jpg,web/12960_0045_web.jpg,thumb/12960_0045_thumb.jpg
47,18r,master/12960_0046.jpg,web/12960_0046_web.jpg,thumb/12960_0046_thumb.jpg
48,18v,master/12960_0047.jpg,web/12960_0047_web.jpg,thumb/12960_0047_thumb.jpg
49,19r,master/12960_0048.jpg,web/12960_0048_web.jpg,thumb/12960_0048_thumb.jpg
50,19v,master/12960_0049.jpg,web/12960_0049_web.jpg,thumb/12960_0049_thumb.jpg
51,20r,master/12960_0050.jpg,web/12960_0050_web.jpg,thumb/12960_0050_thumb.jpg
52,20v,master/12960_0051.jpg,web/12960_0051_web.jpg,thumb/12960_0051_thumb.jpg
53,21r,master/12960_0052.jpg,web/12960_0052_web.jpg,thumb/12960_0052_thumb.jpg
54,21v,master/12960_0053.jpg,web/12960_0053_web.jpg,thumb/12960_0053_thumb.jpg
55,22r,master/12960_0054.jpg,web/12960_0054_web.jpg,thumb/12960_0054_thumb.jpg
56,22v,master/12960_0055.jpg,web/12960_0055_web.jpg,thumb/12960_0055_thumb.jpg
57,23r,master/12960_0056.jpg,web/12960_0056_web.jpg,thumb/12960_0056_thumb.jpg
58,23v,master/12960_0057.jpg,web/12960_0057_web.jpg,thumb/12960_0057_thumb.jpg
59,24r,master/12960_0058.jpg,web/12960_0058_web.jpg,thumb/12960_0058_thumb.jpg
60,24v,master/12960_0059.jpg,web/12960_0059_web.jpg,thumb/12960_0059_thumb.jpg
61,25r,master/12960_0060.jpg,web/12960_0060_web.jpg,thumb/12960_0060_thumb.jpg
62,25v,master/12960_0061.jpg,web/12960_0061_web.jpg,thumb/12960_0061_thumb.jpg
63,26r,master/12960_0062.jpg,web/12960_0062_web.jpg,thumb/12960_0062_thumb.jpg
64,26v,master/12960_0063.jpg,web/12960_0063_web.jpg,thumb/12960_0063_thumb.jpg
65,27r,master/12960_0064.jpg,web/12960_0064_web.jpg,thumb/12960_0064_thumb.jpg
66,27v,master/12960_0065.jpg,web/12960_0065_web.jpg,thumb/12960_0065_thumb.jpg
67,28r,master/12960_0066.jpg,web/12960_0066_web.jpg,thumb/12960_0066_thumb.jpg
68,28v,master/12960_0067.jpg,web/12960_0067_web.jpg,thumb/12960_0067_thumb.jpg
69,29r,master/12960_0068.jpg,web/12960_0068_web.jpg,thumb/12960_0068_thumb.jpg
70,29v,master/12960_0069.jpg,web/12960_0069_web.jpg,thumb/12960_0069_thumb.jpg
71,30r,master/12960_0070.jpg,web/12960_0070_web.jpg,thumb/12960_0070_thumb.jpg
72,30v,master/12960_0071.jpg,web/12960_0071_web.jpg,thumb/12960_0071_thumb.jpg
73,31r,master/12960_0072.jpg,web/12960_0072_web.jpg,thumb/12960_0072_thumb.jpg
74,31v,master/12960_0073.jpg,web/12960_0073_web.jpg,thumb/12960_0073_thumb.jpg
75,32r,master/12960_0074.jpg,web/12960_0074_web.jpg,thumb/12960_0074_thumb.jpg
76,32v,master/12960_0075.jpg,web/12960_0075_web.jpg,thumb/12960_0075_thumb.jpg
77,33r,master/12960_0076.jpg,web/12960_0076_web.jpg,thumb/12960_0076_thumb.jpg
78,33v,master/12960_0077.jpg,web/12960_0077_web.jpg,thumb/12960_0077_thumb.jpg
79,34r,master/12960_0078.jpg,web/12960_0078_web.jpg,thumb/12960_0078_thumb.jpg
80,34v,master/12960_0079.jpg,web/12960_0079_web.jpg,thumb/12960_0079_thumb.jpg
81,35r,master/12960_0080.jpg,web/12960_0080_web.jpg,thumb/12960_0080_thumb.jpg
82,35v,master/12960_0081.jpg,web/12960_0081_web.jpg,thumb/12960_0081_thumb.jpg
83,36r,master/12960_0082.jpg,web/12960_0082_web.jpg,thumb/12960_0082_thumb.jpg
84,36v,master/12960_0083.jpg,web/12960_0083_web.jpg,thumb/12960_0083_thumb.jpg
85,37r,master/12960_0084.jpg,web/12960_0084_web.jpg,thumb/12960_0084_thumb.jpg
86,37v,master/12960_0085.jpg,web/12960_0085_web.jpg,thumb/12960_0085_thumb.jpg
87,38r,master/12960_0086.jpg,web/12960_0086_web.jpg,thumb/12960_0086_thumb.jpg
88,38v,master/12960_0087.jpg,web/12960_0087_web.jpg,thumb/12960_0087_thumb.jpg
89,39r,master/12960_0088.jpg,web/12960_0088_web.jpg,thumb/12960_0088_thumb.jpg
90,39v,master/12960_0089.jpg,web/12960_0089_web.jpg,thumb/12960_0089_thumb.jpg
91,40r,master/12960_0090.jpg,web/12960_0090_web.jpg,thumb/12960_0090_thumb.jpg
92,40v,master/12960_0091.jpg,web/12960_0091_web.jpg,thumb/12960_0091_thumb.jpg
93,41r,master/12960_0092.jpg,web/12960_0092_web.jpg,thumb/12960_0092_thumb.jpg
94,41v,master/12960_0093.jpg,web/12960_0093_web.jpg,thumb/12960_0093_thumb.jpg
95,42r,master/12960_0094.jpg,web/12960_0094_web.jpg,thumb/12960_0094_thumb.jpg
96,42v,master/12960_0095.jpg,web/12960_0095_web.jpg,thumb/12960_0095_thumb.jpg
97,43r,master/12960_0096.jpg,web/12960_0096_web.jpg,thumb/12960_0096_thumb.jpg
98,43v,master/12960_0097.jpg,web/12960_0097_web.jpg,thumb/12960_0097_thumb.jpg
99,44r,master/12960_0098.jpg,web/12960_0098_web.jpg,thumb/12960_0098_thumb.jpg
100,44v,master/12960_0099.jpg,web/12960_0099_web.jpg,thumb/12960_0099_thumb.jpg
101,45r,master/12960_0100.jpg,web/12960_0100_web.jpg,thumb/12960_0100_thumb.jpg
102,45v,master/12960_0101.jpg,web/12960_0101_web.jpg,thumb/12960_0101_thumb.jpg
103,46r,master/12960_0102.jpg,web/12960_0102_web.jpg,thumb/12960_0102_thumb.jpg
104,46v,master/12960_0103.jpg,web/12960_0103_web.jpg,thumb/12960_0103_thumb.jpg
105,47r,master/12960_0104.jpg,web/12960_0104_web.jpg,thumb/12960_0104_thumb.jpg
106,47v,master/12960_0105.jpg,web/12960_0105_web.jpg,thumb/12960_0105_thumb.jpg
107,48r,master/12960_0106.jpg,web/12960_0106_web.jpg,thumb/12960_0106_thumb.jpg
108,48v,master/12960_0107.jpg,web/12960_0107_web.jpg,thumb/12960_0107_thumb.jpg
109,49r,master/12960_0108.jpg,web/12960_0108_web.jpg,thumb/12960_0108_thumb.jpg
110,49v,master/12960_0109.jpg,web/12960_0109_web.jpg,thumb/12960_0109_thumb.jpg
111,50r,master/12960_0110.jpg,web/12960_0110_web.jpg,thumb/12960_0110_thumb.jpg
112,50v,master/12960_0111.jpg,web/12960_0111_web.jpg,thumb/12960_0111_thumb.jpg
113,51r,master/12960_0112.jpg,web/12960_0112_web.jpg,thumb/12960_0112_thumb.jpg
114,51v,master/12960_0113.jpg,web/12960_0113_web.jpg,thumb/12960_0113_thumb.jpg
115,52r,master/12960_0114.jpg,web/12960_0114_web.jpg,thumb/12960_0114_thumb.jpg
116,52v,master/12960_0115.jpg,web/12960_0115_web.jpg,thumb/12960_0115_thumb.jpg
117,53r,master/12960_0116.jpg,web/12960_0116_web.jpg,thumb/12960_0116_thumb.jpg
118,53v,master/12960_0117.jpg,web/12960_0117_web.jpg,thumb/12960_0117_thumb.jpg
119,54r,master/12960_0118.jpg,web/12960_0118_web.jpg,thumb/12960_0118_thumb.jpg
120,54v,master/12960_0119.jpg,web/12960_0119_web.jpg,thumb/12960_0119_thumb.jpg
121,55r,master/12960_0120.jpg,web/12960_0120_web.jpg,thumb/12960_0120_thumb.jpg
122,55v,master/12960_0121.jpg,web/12960_0121_web.jpg,thumb/12960_0121_thumb.jpg
123,56r,master/12960_0122.jpg,web/12960_0122_web.jpg,thumb/12960_0122_thumb.jpg
124,56v,master/12960_0123.jpg,web/12960_0123_web.jpg,thumb/12960_0123_thumb.jpg
125,57r,master/12960_0124.jpg,web/12960_0124_web.jpg,thumb/12960_0124_thumb.jpg
126,57v,master/12960_0125.jpg,web/12960_0125_web.jpg,thumb/12960_0125_thumb.jpg
127,58r,master/12960_0126.jpg,web/12960_0126_web.jpg,thumb/12960_0126_thumb.jpg
128,58v,master/12960_0127.jpg,web/12960_0127_web.jpg,thumb/12960_0127_thumb.jpg
129,59r,master/12960_0128.jpg,web/12960_0128_web.jpg,thumb/12960_0128_thumb.jpg
130,59v,master/12960_0129.jpg,web/12960_0129_web.jpg,thumb/12960_0129_thumb.jpg
131,60r,master/12960_0130.jpg,web/12960_0130_web.jpg,thumb/12960_0130_thumb.jpg
132,60v,master/12960_0131.jpg,web/12960_0131_web.jpg,thumb/12960_0131_thumb.jpg
133,61r,master/12960_0132.jpg,web/12960_0132_web.jpg,thumb/12960_0132_thumb.jpg
134,61v,master/12960_0133.jpg,web/12960_0133_web.jpg,thumb/12960_0133_thumb.jpg
135,62r,master/12960_0134.jpg,web/12960_0134_web.jpg,thumb/12960_0134_thumb.jpg
136,62v,master/12960_0135.jpg,web/12960_0135_web.jpg,thumb/12960_0135_thumb.jpg
137,63r,master/12960_0136.jpg,web/12960_0136_web.jpg,thumb/12960_0136_thumb.jpg
138,63v,master/12960_0137.jpg,web/12960_0137_web.jpg,thumb/12960_0137_thumb.jpg
139,64r,master/12960_0138.jpg,web/12960_0138_web.jpg,thumb/12960_0138_thumb.jpg
140,64v,master/12960_0139.jpg,web/12960_0139_web.jpg,thumb/12960_0139_thumb.jpg
141,65r,master/12960_0140.jpg,web/12960_0140_web.jpg,thumb/12960_0140_thumb.jpg
142,65v,master/12960_0141.jpg,web/12960_0141_web.jpg,thumb/12960_0141_thumb.jpg
143,66r,master/12960_0142.jpg,web/12960_0142_web.jpg,thumb/12960_0142_thumb.jpg
144,66v,master/12960_0143.jpg,web/12960_0143_web.jpg,thumb/12960_0143_thumb.jpg
145,67r,master/12960_0144.jpg,web/12960_0144_web.jpg,thumb/12960_0144_thumb.jpg
146,67v,master/12960_0145.jpg,web/12960_0145_web.jpg,thumb/12960_0145_thumb.jpg
147,68r,master/12960_0146.jpg,web/12960_0146_web.jpg,thumb/12960_0146_thumb.jpg
148,68v,master/12960_0147.jpg,web/12960_0147_web.jpg,thumb/12960_0147_thumb.jpg
149,69r,master/12960_0148.jpg,web/12960_0148_web.jpg,thumb/12960_0148_thumb.jpg
150,69v,master/12960_0149.jpg,web/12960_0149_web.jpg,thumb/12960_0149_thumb.jpg
151,70r,master/12960_0150.jpg,web/12960_0150_web.jpg,thumb/12960_0150_thumb.jpg
152,70v,master/12960_0151.jpg,web/12960_0151_web.jpg,thumb/12960_0151_thumb.jpg
153,71r,master/12960_0152.jpg,web/12960_0152_web.jpg,thumb/12960_0152_thumb.jpg
154,71v,master/12960_0153.jpg,web/12960_0153_web.jpg,thumb/12960_0153_thumb.jpg
155,72r,master/12960_0154.jpg,web/12960_0154_web.jpg,thumb/12960_0154_thumb.jpg
156,72v,master/12960_0155.jpg,web/12960_0155_web.jpg,thumb/12960_0155_thumb.jpg
157,73r,master/12960_0156.jpg,web/12960_0156_web.jpg,thumb/12960_0156_thumb.jpg
158,73v,master/12960_0157.jpg,web/12960_0157_web.jpg,thumb/12960_0157_thumb.jpg
