postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,front,master/13131_0000.jpg,web/13131_0000_web.jpg,thumb/13131_0000_thumb.jpg
2,front-i,master/13131_0001.jpg,web/13131_0001_web.jpg,thumb/13131_0001_thumb.jpg
3,i-r,master/13131_0002.jpg,web/13131_0002_web.jpg,thumb/13131_0002_thumb.jpg
4,i-v,master/13131_0003.jpg,web/13131_0003_web.jpg,thumb/13131_0003_thumb.jpg
5,ii-r,master/13131_0004.jpg,web/13131_0004_web.jpg,thumb/13131_0004_thumb.jpg
6,ii-v,master/13131_0005.jpg,web/13131_0005_web.jpg,thumb/13131_0005_thumb.jpg
7,1r,master/13131_0006.jpg,web/13131_0006_web.jpg,thumb/13131_0006_thumb.jpg
8,1v,master/13131_0007.jpg,web/13131_0007_web.jpg,thumb/13131_0007_thumb.jpg
9,2r,master/13131_0008.jpg,web/13131_0008_web.jpg,thumb/13131_0008_thumb.jpg
10,2v,master/13131_0009.jpg,web/13131_0009_web.jpg,thumb/13131_0009_thumb.jpg
11,3r,master/13131_0010.jpg,web/13131_0010_web.jpg,thumb/13131_0010_thumb.jpg
12,3v,master/13131_0011.jpg,web/13131_0011_web.jpg,thumb/13131_0011_thumb.jpg
13,4r,master/13131_0012.jpg,web/13131_0012_web.jpg,thumb/13131_0012_thumb.jpg
14,4v,master/13131_0013.jpg,web/13131_0013_web.jpg,thumb/13131_0013_thumb.jpg
15,5r,master/13131_0014.jpg,web/13131_0014_web.jpg,thumb/13131_0014_thumb.jpg
16,5v,master/13131_0015.jpg,web/13131_0015_web.jpg,thumb/13131_0015_thumb.jpg
17,iii-r,master/13131_0016.jpg,web/13131_0016_web.jpg,thumb/13131_0016_thumb.jpg
18,iii-v,master/13131_0017.jpg,web/13131_0017_web.jpg,thumb/13131_0017_thumb.jpg
19,iv-r,master/13131_0018.jpg,web/13131_0018_web.jpg,thumb/13131_0018_thumb.jpg
20,iv-v,master/13131_0019.jpg,web/13131_0019_web.jpg,thumb/13131_0019_thumb.jpg
21,v-r,master/13131_0020.jpg,web/13131_0020_web.jpg,thumb/13131_0020_thumb.jpg
22,v-v,master/13131_0021.jpg,web/13131_0021_web.jpg,thumb/13131_0021_thumb.jpg
23,vi-r,master/13131_0022.jpg,web/13131_0022_web.jpg,thumb/13131_0022_thumb.jpg
24,vi-v,master/13131_0023.jpg,web/13131_0023_web.jpg,thumb/13131_0023_thumb.jpg
25,vii-r,master/13131_0024.jpg,web/13131_0024_web.jpg,thumb/13131_0024_thumb.jpg
26,vii-v,master/13131_0025.jpg,web/13131_0025_web.jpg,thumb/13131_0025_thumb.jpg
27,viii-r,master/13131_0026.jpg,web/13131_0026_web.jpg,thumb/13131_0026_thumb.jpg
28,viii-v,master/13131_0027.jpg,web/13131_0027_web.jpg,thumb/13131_0027_thumb.jpg
29,ix-r,master/13131_0028.jpg,web/13131_0028_web.jpg,thumb/13131_0028_thumb.jpg
30,ix-v,master/13131_0029.jpg,web/13131_0029_web.jpg,thumb/13131_0029_thumb.jpg
31,x-r,master/13131_0030.jpg,web/13131_0030_web.jpg,thumb/13131_0030_thumb.jpg
32,x-v,master/13131_0031.jpg,web/13131_0031_web.jpg,thumb/13131_0031_thumb.jpg
33,xi-r,master/13131_0032.jpg,web/13131_0032_web.jpg,thumb/13131_0032_thumb.jpg
34,xi-v,master/13131_0033.jpg,web/13131_0033_web.jpg,thumb/13131_0033_thumb.jpg
35,xii-r,master/13131_0034.jpg,web/13131_0034_web.jpg,thumb/13131_0034_thumb.jpg
36,xii-v,master/13131_0035.jpg,web/13131_0035_web.jpg,thumb/13131_0035_thumb.jpg
37,xiii-r,master/13131_0036.jpg,web/13131_0036_web.jpg,thumb/13131_0036_thumb.jpg
38,xiii-v,master/13131_0037.jpg,web/13131_0037_web.jpg,thumb/13131_0037_thumb.jpg
39,xiv-r,master/13131_0038.jpg,web/13131_0038_web.jpg,thumb/13131_0038_thumb.jpg
40,xiv-v,master/13131_0039.jpg,web/13131_0039_web.jpg,thumb/13131_0039_thumb.jpg
41,xv-r,master/13131_0040.jpg,web/13131_0040_web.jpg,thumb/13131_0040_thumb.jpg
42,xv-v,master/13131_0041.jpg,web/13131_0041_web.jpg,thumb/13131_0041_thumb.jpg
43,xvi-r,master/13131_0042.jpg,web/13131_0042_web.jpg,thumb/13131_0042_thumb.jpg
44,xvi-v,master/13131_0043.jpg,web/13131_0043_web.jpg,thumb/13131_0043_thumb.jpg
45,xvii-r,master/13131_0044.jpg,web/13131_0044_web.jpg,thumb/13131_0044_thumb.jpg
46,xvii-v,master/13131_0045.jpg,web/13131_0045_web.jpg,thumb/13131_0045_thumb.jpg
47,xviii-r,master/13131_0046.jpg,web/13131_0046_web.jpg,thumb/13131_0046_thumb.jpg
48,xviii-v,master/13131_0047.jpg,web/13131_0047_web.jpg,thumb/13131_0047_thumb.jpg
49,xix-r,master/13131_0048.jpg,web/13131_0048_web.jpg,thumb/13131_0048_thumb.jpg
50,xix-v,master/13131_0049.jpg,web/13131_0049_web.jpg,thumb/13131_0049_thumb.jpg
51,xx-r,master/13131_0050.jpg,web/13131_0050_web.jpg,thumb/13131_0050_thumb.jpg
52,xx-v,master/13131_0051.jpg,web/13131_0051_web.jpg,thumb/13131_0051_thumb.jpg
53,xxi-r,master/13131_0052.jpg,web/13131_0052_web.jpg,thumb/13131_0052_thumb.jpg
54,xxi-v,master/13131_0053.jpg,web/13131_0053_web.jpg,thumb/13131_0053_thumb.jpg
55,xxii-r,master/13131_0054.jpg,web/13131_0054_web.jpg,thumb/13131_0054_thumb.jpg
56,xxii-v,master/13131_0055.jpg,web/13131_0055_web.jpg,thumb/13131_0055_thumb.jpg
57,xxiii-r,master/13131_0056.jpg,web/13131_0056_web.jpg,thumb/13131_0056_thumb.jpg
58,xxiii-v,master/13131_0057.jpg,web/13131_0057_web.jpg,thumb/13131_0057_thumb.jpg
59,xxiv-r,master/13131_0058.jpg,web/13131_0058_web.jpg,thumb/13131_0058_thumb.jpg
60,xxiv-v,master/13131_0059.jpg,web/13131_0059_web.jpg,thumb/13131_0059_thumb.jpg
61,xxv-r,master/13131_0060.jpg,web/13131_0060_web.jpg,thumb/13131_0060_thumb.jpg
62,xxv-v,master/13131_0061.jpg,web/13131_0061_web.jpg,thumb/13131_0061_thumb.jpg
63,xxvi-r,master/13131_0062.jpg,web/13131_0062_web.jpg,thumb/13131_0062_thumb.jpg
64,xxvi-v,master/13131_0063.jpg,web/13131_0063_web.jpg,thumb/13131_0063_thumb.jpg
65,xxvii-r,master/13131_0064.jpg,web/13131_0064_web.jpg,thumb/13131_0064_thumb.jpg
66,xxvii-v,master/13131_0065.jpg,web/13131_0065_web.jpg,thumb/13131_0065_thumb.jpg
67,xxviii-r,master/13131_0066.jpg,web/13131_0066_web.jpg,thumb/13131_0066_thumb.jpg
68,xxviii-v,master/13131_0067.jpg,web/13131_0067_web.jpg,thumb/13131_0067_thumb.jpg
69,xxix-r,master/13131_0068.jpg,web/13131_0068_web.jpg,thumb/13131_0068_thumb.jpg
70,xxix-v,master/13131_0069.jpg,web/13131_0069_web.jpg,thumb/13131_0069_thumb.jpg
71,xxx-r,master/13131_0070.jpg,web/13131_0070_web.jpg,thumb/13131_0070_thumb.jpg
72,xxx-v,master/13131_0071.jpg,web/13131_0071_web.jpg,thumb/13131_0071_thumb.jpg
73,xxxi-r,master/13131_0072.jpg,web/13131_0072_web.jpg,thumb/13131_0072_thumb.jpg
74,xxxi-v,master/13131_0073.jpg,web/13131_0073_web.jpg,thumb/13131_0073_thumb.jpg
75,xxxii-r,master/13131_0074.jpg,web/13131_0074_web.jpg,thumb/13131_0074_thumb.jpg
76,xxxii-v,master/13131_0075.jpg,web/13131_0075_web.jpg,thumb/13131_0075_thumb.jpg
77,xxxiii-r,master/13131_0076.jpg,web/13131_0076_web.jpg,thumb/13131_0076_thumb.jpg
78,xxxiii-v,master/13131_0077.jpg,web/13131_0077_web.jpg,thumb/13131_0077_thumb.jpg
79,xxxiv-r,master/13131_0078.jpg,web/13131_0078_web.jpg,thumb/13131_0078_thumb.jpg
80,xxxiv-v,master/13131_0079.jpg,web/13131_0079_web.jpg,thumb/13131_0079_thumb.jpg
81,xxxv-r,master/13131_0080.jpg,web/13131_0080_web.jpg,thumb/13131_0080_thumb.jpg
82,xxxv-v,master/13131_0081.jpg,web/13131_0081_web.jpg,thumb/13131_0081_thumb.jpg
83,back-i,master/13131_0082.jpg,web/13131_0082_web.jpg,thumb/13131_0082_thumb.jpg
84,back,master/13131_0083.jpg,web/13131_0083_web.jpg,thumb/13131_0083_thumb.jpg
85,spine,master/13131_0084.jpg,web/13131_0084_web.jpg,thumb/13131_0084_thumb.jpg
