postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,front,master/13243_0000.jpg,web/13243_0000_web.jpg,thumb/13243_0000_thumb.jpg
2,front-i,master/13243_0001.jpg,web/13243_0001_web.jpg,thumb/13243_0001_thumb.jpg
3,1r,master/13243_0002.jpg,web/13243_0002_web.jpg,thumb/13243_0002_thumb.jpg
4,1v,master/13243_0003.jpg,web/13243_0003_web.jpg,thumb/13243_0003_thumb.jpg
5,2r,master/13243_0004.jpg,web/13243_0004_web.jpg,thumb/13243_0004_thumb.jpg
6,2v,master/13243_0005.jpg,web/13243_0005_web.jpg,thumb/13243_0005_thumb.jpg
7,3r,master/13243_0006.jpg,web/13243_0006_web.jpg,thumb/13243_0006_thumb.jpg
8,3v,master/13243_0007.jpg,web/13243_0007_web.jpg,thumb/13243_0007_thumb.jpg
9,4r,master/13243_0008.jpg,web/13243_0008_web.jpg,thumb/13243_0008_thumb.jpg
10,4v,master/13243_0009.jpg,web/13243_0009_web.jpg,thumb/13243_0009_thumb.jpg
11,5r,master/13243_0010.jpg,web/13243_0010_web.jpg,thumb/13243_0010_thumb.jpg
12,5v,master/13243_0011.jpg,web/13243_0011_web.jpg,thumb/13243_0011_thumb.jpg
13,6r,master/13243_0012.jpg,web/13243_0012_web.jpg,thumb/13243_0012_thumb.jpg
14,6v,master/13243_0013.jpg,web/13243_0013_web.jpg,thumb/13243_0013_thumb.jpg
15,7r,master/13243_0014.jpg,web/13243_0014_web.jpg,thumb/13243_0014_thumb.jpg
16,7v,master/13243_0015.jpg,web/13243_0015_web.jpg,thumb/13243_0015_thumb.jpg
17,8r,master/13243_0016.jpg,web/13243_0016_web.jpg,thumb/13243_0016_thumb.jpg
18,8v,master/13243_0017.jpg,web/13243_0017_web.jpg,thumb/13243_0017_thumb.jpg
19,9r,master/13243_0018.jpg,web/13243_0018_web.jpg,thumb/13243_0018_thumb.jpg
20,9v,master/13243_0019.jpg,web/13243_0019_web.jpg,thumb/13243_0019_thumb.jpg
21,10r,master/13243_0020.jpg,web/13243_0020_web.jpg,thumb/13243_0020_thumb.jpg
22,10v,master/13243_0021.jpg,web/13243_0021_web.jpg,thumb/13243_0021_thumb.jpg
23,11r,master/13243_0022.jpg,web/13243_0022_web.jpg,thumb/13243_0022_thumb.jpg
24,11v,master/13243_0023.jpg,web/13243_0023_web.jpg,thumb/13243_0023_thumb.jpg
25,12r,master/13243_0024.jpg,web/13243_0024_web.jpg,thumb/13243_0024_thumb.jpg
26,12v,master/13243_0025.jpg,web/13243_0025_web.jpg,thumb/13243_0025_thumb.jpg
27,13r,master/13243_0026.jpg,web/13243_0026_web.jpg,thumb/13243_0026_thumb.jpg
28,13v,master/13243_0027.jpg,web/13243_0027_web.jpg,thumb/13243_0027_thumb.jpg
29,14r,master/13243_0028.jpg,web/13243_0028_web.jpg,thumb/13243_0028_thumb.jpg
30,14v,master/13243_0029.jpg,web/13243_0029_web.jpg,thumb/13243_0029_thumb.jpg
31,15r,master/13243_0030.jpg,web/13243_0030_web.jpg,thumb/13243_0030_thumb.jpg
32,15v,master/13243_0031.jpg,web/13243_0031_web.jpg,thumb/13243_0031_thumb.jpg
33,16r,master/13243_0032.jpg,web/13243_0032_web.jpg,thumb/13243_0032_thumb.jpg
34,16v,master/13243_0033.jpg,web/13243_0033_web.jpg,thumb/13243_0033_thumb.jpg
35,17r,master/13243_0034.jpg,web/13243_0034_web.jpg,thumb/13243_0034_thumb.jpg
36,17v,master/13243_0035.jpg,web/13243_0035_web.jpg,thumb/13243_0035_thumb.jpg
37,18r,master/13243_0036.jpg,web/13243_0036_web.jpg,thumb/13243_0036_thumb.jpg
38,18v,master/13243_0037.jpg,web/13243_0037_web.jpg,thumb/13243_0037_thumb.jpg
39,19r,master/13243_0038.jpg,web/13243_0038_web.jpg,thumb/13243_0038_thumb.jpg
40,19v,master/13243_0039.jpg,web/13243_0039_web.jpg,thumb/13243_0039_thumb.jpg
41,20r,master/13243_0040.jpg,web/13243_0040_web.jpg,thumb/13243_0040_thumb.jpg
42,20v,master/13243_0041.jpg,web/13243_0041_web.jpg,thumb/13243_0041_thumb.jpg
43,21r,master/13243_0042.jpg,web/13243_0042_web.jpg,thumb/13243_0042_thumb.jpg
44,21v,master/13243_0043.jpg,web/13243_0043_web.jpg,thumb/13243_0043_thumb.jpg
45,22r,master/13243_0044.jpg,web/13243_0044_web.jpg,thumb/13243_0044_thumb.jpg
46,22v,master/13243_0045.jpg,web/13243_0045_web.jpg,thumb/13243_0045_thumb.jpg
47,23r,master/13243_0046.jpg,web/13243_0046_web.jpg,thumb/13243_0046_thumb.jpg
48,23v,master/13243_0047.jpg,web/13243_0047_web.jpg,thumb/13243_0047_thumb.jpg
49,24r,master/13243_0048.jpg,web/13243_0048_web.jpg,thumb/13243_0048_thumb.jpg
50,24v,master/13243_0049.jpg,web/13243_0049_web.jpg,thumb/13243_0049_thumb.jpg
51,25r,master/13243_0050.jpg,web/13243_0050_web.jpg,thumb/13243_0050_thumb.jpg
52,25v,master/13243_0051.jpg,web/13243_0051_web.jpg,thumb/13243_0051_thumb.jpg
53,26r,master/13243_0052.jpg,web/13243_0052_web.jpg,thumb/13243_0052_thumb.jpg
54,26v,master/13243_0053.jpg,web/13243_0053_web.jpg,thumb/13243_0053_thumb.jpg
55,27r,master/13243_0054.jpg,web/13243_0054_web.jpg,thumb/13243_0054_thumb.jpg
56,27v,master/13243_0055.jpg,web/13243_0055_web.jpg,thumb/13243_0055_thumb.jpg
57,28r,master/13243_0056.jpg,web/13243_0056_web.jpg,thumb/13243_0056_thumb.jpg
58,28v,master/13243_0057.jpg,web/13243_0057_web.jpg,thumb/13243_0057_thumb.jpg
59,29r,master/13243_0058.jpg,web/13243_0058_web.jpg,thumb/13243_0058_thumb.jpg
60,29v,master/13243_0059.jpg,web/13243_0059_web.jpg,thumb/13243_0059_thumb.jpg
61,30r,master/13243_0060.jpg,web/13243_0060_web.jpg,thumb/13243_0060_thumb.jpg
62,30v,master/13243_0061.jpg,web/13243_0061_web.jpg,thumb/13243_0061_thumb.jpg
63,31r,master/13243_0062.jpg,web/13243_0062_web.jpg,thumb/13243_0062_thumb.jpg
64,31v,master/13243_0063.jpg,web/13243_0063_web.jpg,thumb/13243_0063_thumb.jpg
65,32r,master/13243_0064.jpg,web/13243_0064_web.jpg,thumb/13243_0064_thumb.jpg
66,32v,master/13243_0065.jpg,web/13243_0065_web.jpg,thumb/13243_0065_thumb.jpg
67,33r,master/13243_0066.jpg,web/13243_0066_web.jpg,thumb/13243_0066_thumb.jpg
68,33v,master/13243_0067.jpg,web/13243_0067_web.jpg,thumb/13243_0067_thumb.jpg
69,34r,master/13243_0068.jpg,web/13243_0068_web.jpg,thumb/13243_0068_thumb.jpg
70,34v,master/13243_0069.jpg,web/13243_0069_web.jpg,thumb/13243_0069_thumb.jpg
71,35r,master/13243_0070.jpg,web/13243_0070_web.jpg,thumb/13243_0070_thumb.jpg
72,35v,master/13243_0071.jpg,web/13243_0071_web.jpg,thumb/13243_0071_thumb.jpg
73,36r,master/13243_0072.jpg,web/13243_0072_web.jpg,thumb/13243_0072_thumb.jpg
74,36v,master/13243_0073.jpg,web/13243_0073_web.jpg,thumb/13243_0073_thumb.jpg
75,37r,master/13243_0074.jpg,web/13243_0074_web.jpg,thumb/13243_0074_thumb.jpg
76,37v,master/13243_0075.jpg,web/13243_0075_web.jpg,thumb/13243_0075_thumb.jpg
77,38r,master/13243_0076.jpg,web/13243_0076_web.jpg,thumb/13243_0076_thumb.jpg
78,38v,master/13243_0077.jpg,web/13243_0077_web.jpg,thumb/13243_0077_thumb.jpg
79,39r,master/13243_0078.jpg,web/13243_0078_web.jpg,thumb/13243_0078_thumb.jpg
80,39v,master/13243_0079.jpg,web/13243_0079_web.jpg,thumb/13243_0079_thumb.jpg
81,40r,master/13243_0080.jpg,web/13243_0080_web.jpg,thumb/13243_0080_thumb.jpg
82,40v,master/13243_0081.jpg,web/13243_0081_web.jpg,thumb/13243_0081_thumb.jpg
83,41r,master/13243_0082.jpg,web/13243_0082_web.jpg,thumb/13243_0082_thumb.jpg
84,41v,master/13243_0083.jpg,web/13243_0083_web.jpg,thumb/13243_0083_thumb.jpg
85,42r,master/13243_0084.jpg,web/13243_0084_web.jpg,thumb/13243_0084_thumb.jpg
86,42v,master/13243_0085.jpg,web/13243_0085_web.jpg,thumb/13243_0085_thumb.jpg
87,back-i,master/13243_0086.jpg,web/13243_0086_web.jpg,thumb/13243_0086_thumb.jpg
88,back,master/13243_0087.jpg,web/13243_0087_web.jpg,thumb/13243_0087_thumb.jpg
89,spine,master/13243_0088.jpg,web/13243_0088_web.jpg,thumb/13243_0088_thumb.jpg
