postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,image 1,master/11277_0000.tif,web/11277_0000_web.jpg,thumb/11277_0000_thumb.jpg
2,image 2,master/11277_0001.tif,web/11277_0001_web.jpg,thumb/11277_0001_thumb.jpg
3,image 3,master/11277_0002.tif,web/11277_0002_web.jpg,thumb/11277_0002_thumb.jpg
4,image 4,master/11277_0003.tif,web/11277_0003_web.jpg,thumb/11277_0003_thumb.jpg
5,image 5,master/11277_0004.tif,web/11277_0004_web.jpg,thumb/11277_0004_thumb.jpg
6,image 6,master/11277_0005.tif,web/11277_0005_web.jpg,thumb/11277_0005_thumb.jpg
7,image 7,master/11277_0006.tif,web/11277_0006_web.jpg,thumb/11277_0006_thumb.jpg
8,image 8,master/11277_0007.tif,web/11277_0007_web.jpg,thumb/11277_0007_thumb.jpg
9,image 9,master/11277_0008.tif,web/11277_0008_web.jpg,thumb/11277_0008_thumb.jpg
10,image 10,master/11277_0009.tif,web/11277_0009_web.jpg,thumb/11277_0009_thumb.jpg
11,image 11,master/11277_0010.tif,web/11277_0010_web.jpg,thumb/11277_0010_thumb.jpg
12,image 12,master/11277_0011.tif,web/11277_0011_web.jpg,thumb/11277_0011_thumb.jpg
13,image 13,master/11277_0012.tif,web/11277_0012_web.jpg,thumb/11277_0012_thumb.jpg
14,image 14,master/11277_0013.tif,web/11277_0013_web.jpg,thumb/11277_0013_thumb.jpg
15,image 15,master/11277_0014.tif,web/11277_0014_web.jpg,thumb/11277_0014_thumb.jpg
16,image 16,master/11277_0015.tif,web/11277_0015_web.jpg,thumb/11277_0015_thumb.jpg
17,image 17,master/11277_0016.tif,web/11277_0016_web.jpg,thumb/11277_0016_thumb.jpg
18,image 18,master/11277_0017.tif,web/11277_0017_web.jpg,thumb/11277_0017_thumb.jpg
19,image 19,master/11277_0018.tif,web/11277_0018_web.jpg,thumb/11277_0018_thumb.jpg
20,image 20,master/11277_0019.tif,web/11277_0019_web.jpg,thumb/11277_0019_thumb.jpg
21,image 21,master/11277_0020.tif,web/11277_0020_web.jpg,thumb/11277_0020_thumb.jpg
22,image 22,master/11277_0021.tif,web/11277_0021_web.jpg,thumb/11277_0021_thumb.jpg
23,image 23,master/11277_0022.tif,web/11277_0022_web.jpg,thumb/11277_0022_thumb.jpg
24,image 24,master/11277_0023.tif,web/11277_0023_web.jpg,thumb/11277_0023_thumb.jpg
25,image 25,master/11277_0024.tif,web/11277_0024_web.jpg,thumb/11277_0024_thumb.jpg
26,image 26,master/11277_0025.tif,web/11277_0025_web.jpg,thumb/11277_0025_thumb.jpg
27,image 27,master/11277_0026.tif,web/11277_0026_web.jpg,thumb/11277_0026_thumb.jpg
28,image 28,master/11277_0027.tif,web/11277_0027_web.jpg,thumb/11277_0027_thumb.jpg
29,image 29,master/11277_0028.tif,web/11277_0028_web.jpg,thumb/11277_0028_thumb.jpg
30,image 30,master/11277_0029.tif,web/11277_0029_web.jpg,thumb/11277_0029_thumb.jpg
31,image 31,master/11277_0030.tif,web/11277_0030_web.jpg,thumb/11277_0030_thumb.jpg
32,image 32,master/11277_0031.tif,web/11277_0031_web.jpg,thumb/11277_0031_thumb.jpg
33,image 33,master/11277_0032.tif,web/11277_0032_web.jpg,thumb/11277_0032_thumb.jpg
34,image 34,master/11277_0033.tif,web/11277_0033_web.jpg,thumb/11277_0033_thumb.jpg
35,image 35,master/11277_0034.tif,web/11277_0034_web.jpg,thumb/11277_0034_thumb.jpg
36,image 36,master/11277_0035.tif,web/11277_0035_web.jpg,thumb/11277_0035_thumb.jpg
37,image 37,master/11277_0036.tif,web/11277_0036_web.jpg,thumb/11277_0036_thumb.jpg
38,image 38,master/11277_0037.tif,web/11277_0037_web.jpg,thumb/11277_0037_thumb.jpg
39,image 39,master/11277_0038.tif,web/11277_0038_web.jpg,thumb/11277_0038_thumb.jpg
40,image 40,master/11277_0039.tif,web/11277_0039_web.jpg,thumb/11277_0039_thumb.jpg
41,image 41,master/11277_0040.tif,web/11277_0040_web.jpg,thumb/11277_0040_thumb.jpg
42,image 42,master/11277_0041.tif,web/11277_0041_web.jpg,thumb/11277_0041_thumb.jpg
43,image 43,master/11277_0042.tif,web/11277_0042_web.jpg,thumb/11277_0042_thumb.jpg
44,image 44,master/11277_0043.tif,web/11277_0043_web.jpg,thumb/11277_0043_thumb.jpg
45,image 45,master/11277_0044.tif,web/11277_0044_web.jpg,thumb/11277_0044_thumb.jpg
46,image 46,master/11277_0045.tif,web/11277_0045_web.jpg,thumb/11277_0045_thumb.jpg
47,image 47,master/11277_0046.tif,web/11277_0046_web.jpg,thumb/11277_0046_thumb.jpg
48,image 48,master/11277_0047.tif,web/11277_0047_web.jpg,thumb/11277_0047_thumb.jpg
49,image 49,master/11277_0048.tif,web/11277_0048_web.jpg,thumb/11277_0048_thumb.jpg
50,image 50,master/11277_0049.tif,web/11277_0049_web.jpg,thumb/11277_0049_thumb.jpg
51,image 51,master/11277_0050.tif,web/11277_0050_web.jpg,thumb/11277_0050_thumb.jpg
52,image 52,master/11277_0051.tif,web/11277_0051_web.jpg,thumb/11277_0051_thumb.jpg
53,image 53,master/11277_0052.tif,web/11277_0052_web.jpg,thumb/11277_0052_thumb.jpg
54,image 54,master/11277_0053.tif,web/11277_0053_web.jpg,thumb/11277_0053_thumb.jpg
55,image 55,master/11277_0054.tif,web/11277_0054_web.jpg,thumb/11277_0054_thumb.jpg
56,image 56,master/11277_0055.tif,web/11277_0055_web.jpg,thumb/11277_0055_thumb.jpg
57,image 57,master/11277_0056.tif,web/11277_0056_web.jpg,thumb/11277_0056_thumb.jpg
58,image 58,master/11277_0057.tif,web/11277_0057_web.jpg,thumb/11277_0057_thumb.jpg
59,image 59,master/11277_0058.tif,web/11277_0058_web.jpg,thumb/11277_0058_thumb.jpg
60,image 60,master/11277_0059.tif,web/11277_0059_web.jpg,thumb/11277_0059_thumb.jpg
61,image 61,master/11277_0060.tif,web/11277_0060_web.jpg,thumb/11277_0060_thumb.jpg
62,image 62,master/11277_0061.tif,web/11277_0061_web.jpg,thumb/11277_0061_thumb.jpg
63,image 63,master/11277_0062.tif,web/11277_0062_web.jpg,thumb/11277_0062_thumb.jpg
64,image 64,master/11277_0063.tif,web/11277_0063_web.jpg,thumb/11277_0063_thumb.jpg
65,image 65,master/11277_0064.tif,web/11277_0064_web.jpg,thumb/11277_0064_thumb.jpg
66,image 66,master/11277_0065.tif,web/11277_0065_web.jpg,thumb/11277_0065_thumb.jpg
67,image 67,master/11277_0066.tif,web/11277_0066_web.jpg,thumb/11277_0066_thumb.jpg
68,image 68,master/11277_0067.tif,web/11277_0067_web.jpg,thumb/11277_0067_thumb.jpg
