postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Upper cover. outside,master/11243_0000.tif,web/11243_0000_web.jpg,thumb/11243_0000_thumb.jpg
2,Upper cover. inside,master/11243_0001.tif,web/11243_0001_web.jpg,thumb/11243_0001_thumb.jpg
3,1. recto,master/11243_0002.tif,web/11243_0002_web.jpg,thumb/11243_0002_thumb.jpg
4,1. verso,master/11243_0003.tif,web/11243_0003_web.jpg,thumb/11243_0003_thumb.jpg
5,2. recto,master/11243_0004.tif,web/11243_0004_web.jpg,thumb/11243_0004_thumb.jpg
6,2. verso,master/11243_0005.tif,web/11243_0005_web.jpg,thumb/11243_0005_thumb.jpg
7,f. 1. a,master/11243_0006.tif,web/11243_0006_web.jpg,thumb/11243_0006_thumb.jpg
8,f. 1. b,master/11243_0007.tif,web/11243_0007_web.jpg,thumb/11243_0007_thumb.jpg
9,f. 2. a,master/11243_0008.tif,web/11243_0008_web.jpg,thumb/11243_0008_thumb.jpg
10,f. 2. b,master/11243_0009.tif,web/11243_0009_web.jpg,thumb/11243_0009_thumb.jpg
11,f. 3. a,master/11243_0010.tif,web/11243_0010_web.jpg,thumb/11243_0010_thumb.jpg
12,f. 3. b,master/11243_0011.tif,web/11243_0011_web.jpg,thumb/11243_0011_thumb.jpg
13,f. 4. a,master/11243_0012.tif,web/11243_0012_web.jpg,thumb/11243_0012_thumb.jpg
14,f. 4. b,master/11243_0013.tif,web/11243_0013_web.jpg,thumb/11243_0013_thumb.jpg
15,f. 5. a,master/11243_0014.tif,web/11243_0014_web.jpg,thumb/11243_0014_thumb.jpg
16,f. 5. b,master/11243_0015.tif,web/11243_0015_web.jpg,thumb/11243_0015_thumb.jpg
17,f. 6. a,master/11243_0016.tif,web/11243_0016_web.jpg,thumb/11243_0016_thumb.jpg
18,f. 6. b,master/11243_0017.tif,web/11243_0017_web.jpg,thumb/11243_0017_thumb.jpg
19,f. 7. a,master/11243_0018.tif,web/11243_0018_web.jpg,thumb/11243_0018_thumb.jpg
20,f. 7. b,master/11243_0019.tif,web/11243_0019_web.jpg,thumb/11243_0019_thumb.jpg
21,f. 8. a,master/11243_0020.tif,web/11243_0020_web.jpg,thumb/11243_0020_thumb.jpg
22,f. 8. b,master/11243_0021.tif,web/11243_0021_web.jpg,thumb/11243_0021_thumb.jpg
23,f. 9. a,master/11243_0022.tif,web/11243_0022_web.jpg,thumb/11243_0022_thumb.jpg
24,f. 9. b,master/11243_0023.tif,web/11243_0023_web.jpg,thumb/11243_0023_thumb.jpg
25,f. 10. a,master/11243_0024.tif,web/11243_0024_web.jpg,thumb/11243_0024_thumb.jpg
26,f. 10. b,master/11243_0025.tif,web/11243_0025_web.jpg,thumb/11243_0025_thumb.jpg
27,f. 11. a,master/11243_0026.tif,web/11243_0026_web.jpg,thumb/11243_0026_thumb.jpg
28,f. 11. b,master/11243_0027.tif,web/11243_0027_web.jpg,thumb/11243_0027_thumb.jpg
29,f. 12. a,master/11243_0028.tif,web/11243_0028_web.jpg,thumb/11243_0028_thumb.jpg
30,f. 12. b,master/11243_0029.tif,web/11243_0029_web.jpg,thumb/11243_0029_thumb.jpg
31,f. 13. a,master/11243_0030.tif,web/11243_0030_web.jpg,thumb/11243_0030_thumb.jpg
32,f. 13. b,master/11243_0031.tif,web/11243_0031_web.jpg,thumb/11243_0031_thumb.jpg
33,f. 14. a,master/11243_0032.tif,web/11243_0032_web.jpg,thumb/11243_0032_thumb.jpg
34,f. 14. b,master/11243_0033.tif,web/11243_0033_web.jpg,thumb/11243_0033_thumb.jpg
35,f. 15. a,master/11243_0034.tif,web/11243_0034_web.jpg,thumb/11243_0034_thumb.jpg
