postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,f. 1,master/11240_0000.tif,web/11240_0000_web.jpg,thumb/11240_0000_thumb.jpg
2,f. 1,master/11240_0001.tif,web/11240_0001_web.jpg,thumb/11240_0001_thumb.jpg
3,f. 2,master/11240_0002.tif,web/11240_0002_web.jpg,thumb/11240_0002_thumb.jpg
4,f. 2,master/11240_0003.tif,web/11240_0003_web.jpg,thumb/11240_0003_thumb.jpg
5,f. 3,master/11240_0004.tif,web/11240_0004_web.jpg,thumb/11240_0004_thumb.jpg
6,f. 3,master/11240_0005.tif,web/11240_0005_web.jpg,thumb/11240_0005_thumb.jpg
7,f. 4,master/11240_0006.tif,web/11240_0006_web.jpg,thumb/11240_0006_thumb.jpg
8,f. 4,master/11240_0007.tif,web/11240_0007_web.jpg,thumb/11240_0007_thumb.jpg
9,f. 5,master/11240_0008.tif,web/11240_0008_web.jpg,thumb/11240_0008_thumb.jpg
10,f. 5,master/11240_0009.tif,web/11240_0009_web.jpg,thumb/11240_0009_thumb.jpg
11,f. 6,master/11240_0010.tif,web/11240_0010_web.jpg,thumb/11240_0010_thumb.jpg
12,f. 6,master/11240_0011.tif,web/11240_0011_web.jpg,thumb/11240_0011_thumb.jpg
13,f. 7,master/11240_0012.tif,web/11240_0012_web.jpg,thumb/11240_0012_thumb.jpg
14,f. 7,master/11240_0013.tif,web/11240_0013_web.jpg,thumb/11240_0013_thumb.jpg
15,f. 8,master/11240_0014.tif,web/11240_0014_web.jpg,thumb/11240_0014_thumb.jpg
16,f. 8,master/11240_0015.tif,web/11240_0015_web.jpg,thumb/11240_0015_thumb.jpg
17,f. 9,master/11240_0016.tif,web/11240_0016_web.jpg,thumb/11240_0016_thumb.jpg
18,f. 9,master/11240_0017.tif,web/11240_0017_web.jpg,thumb/11240_0017_thumb.jpg
19,f. 10,master/11240_0018.tif,web/11240_0018_web.jpg,thumb/11240_0018_thumb.jpg
20,f. 10,master/11240_0019.tif,web/11240_0019_web.jpg,thumb/11240_0019_thumb.jpg
21,f. 11,master/11240_0020.tif,web/11240_0020_web.jpg,thumb/11240_0020_thumb.jpg
22,f. 11,master/11240_0021.tif,web/11240_0021_web.jpg,thumb/11240_0021_thumb.jpg
23,f. 12,master/11240_0022.tif,web/11240_0022_web.jpg,thumb/11240_0022_thumb.jpg
24,f. 12,master/11240_0023.tif,web/11240_0023_web.jpg,thumb/11240_0023_thumb.jpg
25,f. 13,master/11240_0024.tif,web/11240_0024_web.jpg,thumb/11240_0024_thumb.jpg
26,f. 13,master/11240_0025.tif,web/11240_0025_web.jpg,thumb/11240_0025_thumb.jpg
27,f. 14,master/11240_0026.tif,web/11240_0026_web.jpg,thumb/11240_0026_thumb.jpg
28,f. 14,master/11240_0027.tif,web/11240_0027_web.jpg,thumb/11240_0027_thumb.jpg
29,f. 15,master/11240_0028.tif,web/11240_0028_web.jpg,thumb/11240_0028_thumb.jpg
30,f. 15,master/11240_0029.tif,web/11240_0029_web.jpg,thumb/11240_0029_thumb.jpg
31,f. 16,master/11240_0030.tif,web/11240_0030_web.jpg,thumb/11240_0030_thumb.jpg
32,f. 16,master/11240_0031.tif,web/11240_0031_web.jpg,thumb/11240_0031_thumb.jpg
33,f. 17,master/11240_0032.tif,web/11240_0032_web.jpg,thumb/11240_0032_thumb.jpg
34,f. 17,master/11240_0033.tif,web/11240_0033_web.jpg,thumb/11240_0033_thumb.jpg
35,f. 18,master/11240_0034.tif,web/11240_0034_web.jpg,thumb/11240_0034_thumb.jpg
36,f. 18,master/11240_0035.tif,web/11240_0035_web.jpg,thumb/11240_0035_thumb.jpg
37,f. 19,master/11240_0036.tif,web/11240_0036_web.jpg,thumb/11240_0036_thumb.jpg
38,f. 19,master/11240_0037.tif,web/11240_0037_web.jpg,thumb/11240_0037_thumb.jpg
39,f. 20,master/11240_0038.tif,web/11240_0038_web.jpg,thumb/11240_0038_thumb.jpg
40,f. 20,master/11240_0039.tif,web/11240_0039_web.jpg,thumb/11240_0039_thumb.jpg
41,f. 21,master/11240_0040.tif,web/11240_0040_web.jpg,thumb/11240_0040_thumb.jpg
42,f. 21,master/11240_0041.tif,web/11240_0041_web.jpg,thumb/11240_0041_thumb.jpg
43,f. 22,master/11240_0042.tif,web/11240_0042_web.jpg,thumb/11240_0042_thumb.jpg
44,f. 22,master/11240_0043.tif,web/11240_0043_web.jpg,thumb/11240_0043_thumb.jpg
45,f. 23,master/11240_0044.tif,web/11240_0044_web.jpg,thumb/11240_0044_thumb.jpg
46,f. 23,master/11240_0045.tif,web/11240_0045_web.jpg,thumb/11240_0045_thumb.jpg
47,f. 24,master/11240_0046.tif,web/11240_0046_web.jpg,thumb/11240_0046_thumb.jpg
48,f. 24,master/11240_0047.tif,web/11240_0047_web.jpg,thumb/11240_0047_thumb.jpg
49,f. 25,master/11240_0048.tif,web/11240_0048_web.jpg,thumb/11240_0048_thumb.jpg
50,f. 25,master/11240_0049.tif,web/11240_0049_web.jpg,thumb/11240_0049_thumb.jpg
51,f. 26,master/11240_0050.tif,web/11240_0050_web.jpg,thumb/11240_0050_thumb.jpg
52,f. 26,master/11240_0051.tif,web/11240_0051_web.jpg,thumb/11240_0051_thumb.jpg
53,f. 27,master/11240_0052.tif,web/11240_0052_web.jpg,thumb/11240_0052_thumb.jpg
54,f. 27,master/11240_0053.tif,web/11240_0053_web.jpg,thumb/11240_0053_thumb.jpg
55,f. 28,master/11240_0054.tif,web/11240_0054_web.jpg,thumb/11240_0054_thumb.jpg
56,f. 28,master/11240_0055.tif,web/11240_0055_web.jpg,thumb/11240_0055_thumb.jpg
57,f. 29,master/11240_0056.tif,web/11240_0056_web.jpg,thumb/11240_0056_thumb.jpg
58,f. 29,master/11240_0057.tif,web/11240_0057_web.jpg,thumb/11240_0057_thumb.jpg
59,f. 30,master/11240_0058.tif,web/11240_0058_web.jpg,thumb/11240_0058_thumb.jpg
60,f. 30,master/11240_0059.tif,web/11240_0059_web.jpg,thumb/11240_0059_thumb.jpg
61,f. 31,master/11240_0060.tif,web/11240_0060_web.jpg,thumb/11240_0060_thumb.jpg
62,f. 31,master/11240_0061.tif,web/11240_0061_web.jpg,thumb/11240_0061_thumb.jpg
63,f. 32,master/11240_0062.tif,web/11240_0062_web.jpg,thumb/11240_0062_thumb.jpg
64,f. 32,master/11240_0063.tif,web/11240_0063_web.jpg,thumb/11240_0063_thumb.jpg
65,f. 33,master/11240_0064.tif,web/11240_0064_web.jpg,thumb/11240_0064_thumb.jpg
66,f. 33,master/11240_0065.tif,web/11240_0065_web.jpg,thumb/11240_0065_thumb.jpg
67,f. 34,master/11240_0066.tif,web/11240_0066_web.jpg,thumb/11240_0066_thumb.jpg
68,f. 34,master/11240_0067.tif,web/11240_0067_web.jpg,thumb/11240_0067_thumb.jpg
69,f. 35,master/11240_0068.tif,web/11240_0068_web.jpg,thumb/11240_0068_thumb.jpg
70,f. 35,master/11240_0069.tif,web/11240_0069_web.jpg,thumb/11240_0069_thumb.jpg
71,f. 36,master/11240_0070.tif,web/11240_0070_web.jpg,thumb/11240_0070_thumb.jpg
72,f. 36,master/11240_0071.tif,web/11240_0071_web.jpg,thumb/11240_0071_thumb.jpg
73,f. 37,master/11240_0072.tif,web/11240_0072_web.jpg,thumb/11240_0072_thumb.jpg
74,f. 37,master/11240_0073.tif,web/11240_0073_web.jpg,thumb/11240_0073_thumb.jpg
75,f. 38,master/11240_0074.tif,web/11240_0074_web.jpg,thumb/11240_0074_thumb.jpg
76,f. 38,master/11240_0075.tif,web/11240_0075_web.jpg,thumb/11240_0075_thumb.jpg
77,f. 39,master/11240_0076.tif,web/11240_0076_web.jpg,thumb/11240_0076_thumb.jpg
78,f. 39,master/11240_0077.tif,web/11240_0077_web.jpg,thumb/11240_0077_thumb.jpg
79,f. 40,master/11240_0078.tif,web/11240_0078_web.jpg,thumb/11240_0078_thumb.jpg
80,f. 40,master/11240_0079.tif,web/11240_0079_web.jpg,thumb/11240_0079_thumb.jpg
81,f. 41,master/11240_0080.tif,web/11240_0080_web.jpg,thumb/11240_0080_thumb.jpg
82,f. 41,master/11240_0081.tif,web/11240_0081_web.jpg,thumb/11240_0081_thumb.jpg
83,f. 42,master/11240_0082.tif,web/11240_0082_web.jpg,thumb/11240_0082_thumb.jpg
84,f. 42,master/11240_0083.tif,web/11240_0083_web.jpg,thumb/11240_0083_thumb.jpg
85,f. 43,master/11240_0084.tif,web/11240_0084_web.jpg,thumb/11240_0084_thumb.jpg
86,f. 43,master/11240_0085.tif,web/11240_0085_web.jpg,thumb/11240_0085_thumb.jpg
87,f. 44,master/11240_0086.tif,web/11240_0086_web.jpg,thumb/11240_0086_thumb.jpg
88,f. 44,master/11240_0087.tif,web/11240_0087_web.jpg,thumb/11240_0087_thumb.jpg
89,f. 45,master/11240_0088.tif,web/11240_0088_web.jpg,thumb/11240_0088_thumb.jpg
90,f. 45,master/11240_0089.tif,web/11240_0089_web.jpg,thumb/11240_0089_thumb.jpg
91,f. 46,master/11240_0090.tif,web/11240_0090_web.jpg,thumb/11240_0090_thumb.jpg
92,f. 46,master/11240_0091.tif,web/11240_0091_web.jpg,thumb/11240_0091_thumb.jpg
93,f. 47,master/11240_0092.tif,web/11240_0092_web.jpg,thumb/11240_0092_thumb.jpg
94,f. 47,master/11240_0093.tif,web/11240_0093_web.jpg,thumb/11240_0093_thumb.jpg
95,f. 48,master/11240_0094.tif,web/11240_0094_web.jpg,thumb/11240_0094_thumb.jpg
96,f. 48,master/11240_0095.tif,web/11240_0095_web.jpg,thumb/11240_0095_thumb.jpg
97,f. 49,master/11240_0096.tif,web/11240_0096_web.jpg,thumb/11240_0096_thumb.jpg
98,f. 49,master/11240_0097.tif,web/11240_0097_web.jpg,thumb/11240_0097_thumb.jpg
99,f. 50,master/11240_0098.tif,web/11240_0098_web.jpg,thumb/11240_0098_thumb.jpg
100,f. 50,master/11240_0099.tif,web/11240_0099_web.jpg,thumb/11240_0099_thumb.jpg
101,f. 51,master/11240_0100.tif,web/11240_0100_web.jpg,thumb/11240_0100_thumb.jpg
102,f. 51,master/11240_0101.tif,web/11240_0101_web.jpg,thumb/11240_0101_thumb.jpg
103,f. 52,master/11240_0102.tif,web/11240_0102_web.jpg,thumb/11240_0102_thumb.jpg
104,f. 52,master/11240_0103.tif,web/11240_0103_web.jpg,thumb/11240_0103_thumb.jpg
105,f. 53,master/11240_0104.tif,web/11240_0104_web.jpg,thumb/11240_0104_thumb.jpg
106,f. 53,master/11240_0105.tif,web/11240_0105_web.jpg,thumb/11240_0105_thumb.jpg
107,f. 54,master/11240_0106.tif,web/11240_0106_web.jpg,thumb/11240_0106_thumb.jpg
108,f. 54,master/11240_0107.tif,web/11240_0107_web.jpg,thumb/11240_0107_thumb.jpg
109,f. 55,master/11240_0108.tif,web/11240_0108_web.jpg,thumb/11240_0108_thumb.jpg
110,f. 55,master/11240_0109.tif,web/11240_0109_web.jpg,thumb/11240_0109_thumb.jpg
111,f. 56,master/11240_0110.tif,web/11240_0110_web.jpg,thumb/11240_0110_thumb.jpg
112,f. 56,master/11240_0111.tif,web/11240_0111_web.jpg,thumb/11240_0111_thumb.jpg
113,f. 57,master/11240_0112.tif,web/11240_0112_web.jpg,thumb/11240_0112_thumb.jpg
114,f. 57,master/11240_0113.tif,web/11240_0113_web.jpg,thumb/11240_0113_thumb.jpg
115,f. 58,master/11240_0114.tif,web/11240_0114_web.jpg,thumb/11240_0114_thumb.jpg
116,f. 58,master/11240_0115.tif,web/11240_0115_web.jpg,thumb/11240_0115_thumb.jpg
117,f. 59,master/11240_0116.tif,web/11240_0116_web.jpg,thumb/11240_0116_thumb.jpg
118,f. 59,master/11240_0117.tif,web/11240_0117_web.jpg,thumb/11240_0117_thumb.jpg
119,f. 60,master/11240_0118.tif,web/11240_0118_web.jpg,thumb/11240_0118_thumb.jpg
120,f. 60,master/11240_0119.tif,web/11240_0119_web.jpg,thumb/11240_0119_thumb.jpg
121,f. 61,master/11240_0120.tif,web/11240_0120_web.jpg,thumb/11240_0120_thumb.jpg
122,f. 61,master/11240_0121.tif,web/11240_0121_web.jpg,thumb/11240_0121_thumb.jpg
123,f. 62,master/11240_0122.tif,web/11240_0122_web.jpg,thumb/11240_0122_thumb.jpg
124,f. 62,master/11240_0123.tif,web/11240_0123_web.jpg,thumb/11240_0123_thumb.jpg
125,f. 63,master/11240_0124.tif,web/11240_0124_web.jpg,thumb/11240_0124_thumb.jpg
126,f. 63,master/11240_0125.tif,web/11240_0125_web.jpg,thumb/11240_0125_thumb.jpg
127,f. 64,master/11240_0126.tif,web/11240_0126_web.jpg,thumb/11240_0126_thumb.jpg
128,f. 64,master/11240_0127.tif,web/11240_0127_web.jpg,thumb/11240_0127_thumb.jpg
129,f. 65,master/11240_0128.tif,web/11240_0128_web.jpg,thumb/11240_0128_thumb.jpg
130,f. 65,master/11240_0129.tif,web/11240_0129_web.jpg,thumb/11240_0129_thumb.jpg
131,f. 66,master/11240_0130.tif,web/11240_0130_web.jpg,thumb/11240_0130_thumb.jpg
132,f. 66,master/11240_0131.tif,web/11240_0131_web.jpg,thumb/11240_0131_thumb.jpg
133,f. 67,master/11240_0132.tif,web/11240_0132_web.jpg,thumb/11240_0132_thumb.jpg
134,f. 67,master/11240_0133.tif,web/11240_0133_web.jpg,thumb/11240_0133_thumb.jpg
135,f. 68,master/11240_0134.tif,web/11240_0134_web.jpg,thumb/11240_0134_thumb.jpg
136,f. 68,master/11240_0135.tif,web/11240_0135_web.jpg,thumb/11240_0135_thumb.jpg
137,f. 69,master/11240_0136.tif,web/11240_0136_web.jpg,thumb/11240_0136_thumb.jpg
138,f. 69,master/11240_0137.tif,web/11240_0137_web.jpg,thumb/11240_0137_thumb.jpg
139,f. 70,master/11240_0138.tif,web/11240_0138_web.jpg,thumb/11240_0138_thumb.jpg
140,f. 70,master/11240_0139.tif,web/11240_0139_web.jpg,thumb/11240_0139_thumb.jpg
141,f. 71,master/11240_0140.tif,web/11240_0140_web.jpg,thumb/11240_0140_thumb.jpg
142,f. 71,master/11240_0141.tif,web/11240_0141_web.jpg,thumb/11240_0141_thumb.jpg
143,f. 72,master/11240_0142.tif,web/11240_0142_web.jpg,thumb/11240_0142_thumb.jpg
144,f. 72,master/11240_0143.tif,web/11240_0143_web.jpg,thumb/11240_0143_thumb.jpg
145,f. 73,master/11240_0144.tif,web/11240_0144_web.jpg,thumb/11240_0144_thumb.jpg
146,f. 73,master/11240_0145.tif,web/11240_0145_web.jpg,thumb/11240_0145_thumb.jpg
147,f. 74,master/11240_0146.tif,web/11240_0146_web.jpg,thumb/11240_0146_thumb.jpg
148,f. 74,master/11240_0147.tif,web/11240_0147_web.jpg,thumb/11240_0147_thumb.jpg
149,f. 75,master/11240_0148.tif,web/11240_0148_web.jpg,thumb/11240_0148_thumb.jpg
150,f. 75,master/11240_0149.tif,web/11240_0149_web.jpg,thumb/11240_0149_thumb.jpg
151,f. 76,master/11240_0150.tif,web/11240_0150_web.jpg,thumb/11240_0150_thumb.jpg
152,f. 76,master/11240_0151.tif,web/11240_0151_web.jpg,thumb/11240_0151_thumb.jpg
