postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Image 1,master/10356_0000.tif,web/10356_0000_web.jpg,thumb/10356_0000_thumb.jpg
2,Image 2,master/10356_0001.tif,web/10356_0001_web.jpg,thumb/10356_0001_thumb.jpg
3,Image 3,master/10356_0002.tif,web/10356_0002_web.jpg,thumb/10356_0002_thumb.jpg
4,Image 4,master/10356_0003.tif,web/10356_0003_web.jpg,thumb/10356_0003_thumb.jpg
5,Image 5,master/10356_0004.tif,web/10356_0004_web.jpg,thumb/10356_0004_thumb.jpg
6,Image 6,master/10356_0005.tif,web/10356_0005_web.jpg,thumb/10356_0005_thumb.jpg
7,Image 7,master/10356_0006.tif,web/10356_0006_web.jpg,thumb/10356_0006_thumb.jpg
8,Image 8,master/10356_0007.tif,web/10356_0007_web.jpg,thumb/10356_0007_thumb.jpg
9,Image 9,master/10356_0008.tif,web/10356_0008_web.jpg,thumb/10356_0008_thumb.jpg
10,Image 10,master/10356_0009.tif,web/10356_0009_web.jpg,thumb/10356_0009_thumb.jpg
11,Image 11,master/10356_0010.tif,web/10356_0010_web.jpg,thumb/10356_0010_thumb.jpg
12,Image 12,master/10356_0011.tif,web/10356_0011_web.jpg,thumb/10356_0011_thumb.jpg
13,Image 13,master/10356_0012.tif,web/10356_0012_web.jpg,thumb/10356_0012_thumb.jpg
14,Image 14,master/10356_0013.tif,web/10356_0013_web.jpg,thumb/10356_0013_thumb.jpg
15,Image 15,master/10356_0014.tif,web/10356_0014_web.jpg,thumb/10356_0014_thumb.jpg
16,Image 16,master/10356_0015.tif,web/10356_0015_web.jpg,thumb/10356_0015_thumb.jpg
17,Image 17,master/10356_0016.tif,web/10356_0016_web.jpg,thumb/10356_0016_thumb.jpg
18,Image 18,master/10356_0017.tif,web/10356_0017_web.jpg,thumb/10356_0017_thumb.jpg
19,Image 19,master/10356_0018.tif,web/10356_0018_web.jpg,thumb/10356_0018_thumb.jpg
20,Image 20,master/10356_0019.tif,web/10356_0019_web.jpg,thumb/10356_0019_thumb.jpg
21,Image 21,master/10356_0020.tif,web/10356_0020_web.jpg,thumb/10356_0020_thumb.jpg
22,Image 22,master/10356_0021.tif,web/10356_0021_web.jpg,thumb/10356_0021_thumb.jpg
23,Image 23,master/10356_0022.tif,web/10356_0022_web.jpg,thumb/10356_0022_thumb.jpg
24,Image 24,master/10356_0023.tif,web/10356_0023_web.jpg,thumb/10356_0023_thumb.jpg
25,Image 25,master/10356_0024.tif,web/10356_0024_web.jpg,thumb/10356_0024_thumb.jpg
26,Image 26,master/10356_0025.tif,web/10356_0025_web.jpg,thumb/10356_0025_thumb.jpg
27,Image 27,master/10356_0026.tif,web/10356_0026_web.jpg,thumb/10356_0026_thumb.jpg
28,Image 28,master/10356_0027.tif,web/10356_0027_web.jpg,thumb/10356_0027_thumb.jpg
29,Image 29,master/10356_0028.tif,web/10356_0028_web.jpg,thumb/10356_0028_thumb.jpg
30,Image 30,master/10356_0029.tif,web/10356_0029_web.jpg,thumb/10356_0029_thumb.jpg
31,Image 31,master/10356_0030.tif,web/10356_0030_web.jpg,thumb/10356_0030_thumb.jpg
32,Image 32,master/10356_0031.tif,web/10356_0031_web.jpg,thumb/10356_0031_thumb.jpg
33,Image 33,master/10356_0032.tif,web/10356_0032_web.jpg,thumb/10356_0032_thumb.jpg
34,Image 34,master/10356_0033.tif,web/10356_0033_web.jpg,thumb/10356_0033_thumb.jpg
35,Image 35,master/10356_0034.tif,web/10356_0034_web.jpg,thumb/10356_0034_thumb.jpg
36,Image 36,master/10356_0035.tif,web/10356_0035_web.jpg,thumb/10356_0035_thumb.jpg
37,Image 37,master/10356_0036.tif,web/10356_0036_web.jpg,thumb/10356_0036_thumb.jpg
38,Image 38,master/10356_0037.tif,web/10356_0037_web.jpg,thumb/10356_0037_thumb.jpg
39,Image 39,master/10356_0038.tif,web/10356_0038_web.jpg,thumb/10356_0038_thumb.jpg
40,Image 40,master/10356_0039.tif,web/10356_0039_web.jpg,thumb/10356_0039_thumb.jpg
41,Image 41,master/10356_0040.tif,web/10356_0040_web.jpg,thumb/10356_0040_thumb.jpg
42,Image 42,master/10356_0041.tif,web/10356_0041_web.jpg,thumb/10356_0041_thumb.jpg
43,Image 43,master/10356_0042.tif,web/10356_0042_web.jpg,thumb/10356_0042_thumb.jpg
44,Image 44,master/10356_0043.tif,web/10356_0043_web.jpg,thumb/10356_0043_thumb.jpg
45,Image 45,master/10356_0044.tif,web/10356_0044_web.jpg,thumb/10356_0044_thumb.jpg
46,Image 46,master/10356_0045.tif,web/10356_0045_web.jpg,thumb/10356_0045_thumb.jpg
47,Image 47,master/10356_0046.tif,web/10356_0046_web.jpg,thumb/10356_0046_thumb.jpg
48,Image 48,master/10356_0047.tif,web/10356_0047_web.jpg,thumb/10356_0047_thumb.jpg
49,Image 49,master/10356_0048.tif,web/10356_0048_web.jpg,thumb/10356_0048_thumb.jpg
50,Image 50,master/10356_0049.tif,web/10356_0049_web.jpg,thumb/10356_0049_thumb.jpg
51,Image 51,master/10356_0050.tif,web/10356_0050_web.jpg,thumb/10356_0050_thumb.jpg
52,Image 52,master/10356_0051.tif,web/10356_0051_web.jpg,thumb/10356_0051_thumb.jpg
53,Image 53,master/10356_0052.tif,web/10356_0052_web.jpg,thumb/10356_0052_thumb.jpg
54,Image 54,master/10356_0053.tif,web/10356_0053_web.jpg,thumb/10356_0053_thumb.jpg
55,Image 55,master/10356_0054.tif,web/10356_0054_web.jpg,thumb/10356_0054_thumb.jpg
56,Image 56,master/10356_0055.tif,web/10356_0055_web.jpg,thumb/10356_0055_thumb.jpg
57,Image 57,master/10356_0056.tif,web/10356_0056_web.jpg,thumb/10356_0056_thumb.jpg
