postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,image 1,master/11232_0000.tif,web/11232_0000_web.jpg,thumb/11232_0000_thumb.jpg
2,image 2,master/11232_0001.tif,web/11232_0001_web.jpg,thumb/11232_0001_thumb.jpg
3,image 3,master/11232_0002.tif,web/11232_0002_web.jpg,thumb/11232_0002_thumb.jpg
4,image 4,master/11232_0003.tif,web/11232_0003_web.jpg,thumb/11232_0003_thumb.jpg
5,image 5,master/11232_0004.tif,web/11232_0004_web.jpg,thumb/11232_0004_thumb.jpg
6,image 6,master/11232_0005.tif,web/11232_0005_web.jpg,thumb/11232_0005_thumb.jpg
7,image 7,master/11232_0006.tif,web/11232_0006_web.jpg,thumb/11232_0006_thumb.jpg
8,image 8,master/11232_0007.tif,web/11232_0007_web.jpg,thumb/11232_0007_thumb.jpg
9,image 9,master/11232_0008.tif,web/11232_0008_web.jpg,thumb/11232_0008_thumb.jpg
10,image 10,master/11232_0009.tif,web/11232_0009_web.jpg,thumb/11232_0009_thumb.jpg
11,image 11,master/11232_0010.tif,web/11232_0010_web.jpg,thumb/11232_0010_thumb.jpg
12,image 12,master/11232_0011.tif,web/11232_0011_web.jpg,thumb/11232_0011_thumb.jpg
13,image 13,master/11232_0012.tif,web/11232_0012_web.jpg,thumb/11232_0012_thumb.jpg
14,image 14,master/11232_0013.tif,web/11232_0013_web.jpg,thumb/11232_0013_thumb.jpg
15,image 15,master/11232_0014.tif,web/11232_0014_web.jpg,thumb/11232_0014_thumb.jpg
16,image 16,master/11232_0015.tif,web/11232_0015_web.jpg,thumb/11232_0015_thumb.jpg
