postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,cover,master/11236_0000.tif,web/11236_0000_web.jpg,thumb/11236_0000_thumb.jpg
2,pastedown,master/11236_0001.tif,web/11236_0001_web.jpg,thumb/11236_0001_thumb.jpg
3,leaf 1 a,master/11236_0002.tif,web/11236_0002_web.jpg,thumb/11236_0002_thumb.jpg
4,leaf 1 b,master/11236_0003.tif,web/11236_0003_web.jpg,thumb/11236_0003_thumb.jpg
5,flyleaf 1 a,master/11236_0004.tif,web/11236_0004_web.jpg,thumb/11236_0004_thumb.jpg
6,flyleaf 1 b,master/11236_0005.tif,web/11236_0005_web.jpg,thumb/11236_0005_thumb.jpg
7,leaf 2 a,master/11236_0006.tif,web/11236_0006_web.jpg,thumb/11236_0006_thumb.jpg
8,leaf 2 b,master/11236_0007.tif,web/11236_0007_web.jpg,thumb/11236_0007_thumb.jpg
9,leaf 3 a,master/11236_0008.tif,web/11236_0008_web.jpg,thumb/11236_0008_thumb.jpg
10,leaf 3 b,master/11236_0009.tif,web/11236_0009_web.jpg,thumb/11236_0009_thumb.jpg
11,leaf 4 a,master/11236_0010.tif,web/11236_0010_web.jpg,thumb/11236_0010_thumb.jpg
12,leaf 4 b,master/11236_0011.tif,web/11236_0011_web.jpg,thumb/11236_0011_thumb.jpg
13,leaf 5 a,master/11236_0012.tif,web/11236_0012_web.jpg,thumb/11236_0012_thumb.jpg
14,leaf 5 b,master/11236_0013.tif,web/11236_0013_web.jpg,thumb/11236_0013_thumb.jpg
15,leaf 6 a,master/11236_0014.tif,web/11236_0014_web.jpg,thumb/11236_0014_thumb.jpg
16,leaf 6 b,master/11236_0015.tif,web/11236_0015_web.jpg,thumb/11236_0015_thumb.jpg
17,leaf 7 a,master/11236_0016.tif,web/11236_0016_web.jpg,thumb/11236_0016_thumb.jpg
18,leaf 7 b,master/11236_0017.tif,web/11236_0017_web.jpg,thumb/11236_0017_thumb.jpg
19,leaf 8 a,master/11236_0018.tif,web/11236_0018_web.jpg,thumb/11236_0018_thumb.jpg
20,leaf 8 b,master/11236_0019.tif,web/11236_0019_web.jpg,thumb/11236_0019_thumb.jpg
21,leaf 9 a,master/11236_0020.tif,web/11236_0020_web.jpg,thumb/11236_0020_thumb.jpg
22,leaf 9 b,master/11236_0021.tif,web/11236_0021_web.jpg,thumb/11236_0021_thumb.jpg
23,leaf 10 a,master/11236_0022.tif,web/11236_0022_web.jpg,thumb/11236_0022_thumb.jpg
