repository_id,collection_tag,collection_type,metadata_type,collection_name
0002,pennmss,repository,TEI,University of Pennsylvania Libraries
0001,ljs,repository,TEI,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts"
0024,bates,repository,TEI,"University of Pennsylvania School of Nursing, Barbara Bates Center"
0003,brynmawr,repository,TEI,"Bryn Mawr College, Special Collections"
0049,lasalle,repository,TEI,"La Salle University, Department of Special Collections"
0025,chf,repository,TEI,"Science History Institute, Othmer Library"
0027,cpp,repository,TEI,"College of Physicians of Philadelphia, The Historical Medical Library"
0032,columbia,repository,TEI,"Columbia University, Rare Book & Manuscript Library"
0043,amphilsoc,repository,TEI,American Philosophical Society
0033,burke,repository,TEI,"Columbia University, The Burke Library at Union Theological Seminary"
0021,manchester,repository,TEI,"University of Manchester Library, Special Collections"
0034,christchurch,repository,TEI,Christ Church Philadelphia
0044,stthomas,repository,TEI,African Episcopal Church of St. Thomas
0046,stgeorges,repository,TEI,Saint George's United Methodist Church of Philadelphia
0039,mikvehisrael,repository,TEI,Congregation Mikveh Israel
0040,americanbaptist,repository,TEI,American Baptist Historical Society
0041,gloriadei,repository,TEI,Gloria Dei Church
0035,episcopaldiocese,repository,TEI,Episcopal Diocese of Pennsylvania Archives
0045,stpeters,repository,TEI,St. Peter's Church of Philadelphia
0036,presbyterian,repository,TEI,Presbyterian Historical Society
0004,drexarc,repository,TEI,"Drexel University, Archives and Special Collections"
0005,drexmed,repository,TEI,"Drexel University College of Medicine, Legacy Center"
0006,haverford,repository,TEI,"Haverford College, Quaker and Special Collections"
0007,lehigh,repository,TEI,"Lehigh University Libraries, Special Collections"
0012,tlc,repository,TEI,The Library Company of Philadelphia
0013,libpa,repository,TEI,"State Library of Pennsylvania, Rare Collections Library"
0042,loc,repository,TEI,Library of Congress
0008,friendshl,repository,TEI,"Swarthmore College, Friends Historical Library"
0022,huntington,repository,TEI,The Huntington Library
0009,hsp,repository,TEI,Historical Society of Pennsylvania
0010,lts,repository,TEI,Lutheran Archives Center at Philadelphia
0011,ulp,repository,TEI,Abraham Lincoln Foundation of The Union League of Philadelphia
0050,princeton,repository,TEI,Princeton University Library
0014,private1,repository,Custom,Private Collection A
0015,ism,repository,TEI,"Independence Seaport Museum, J. Welles Henderson Archives and Library"
0017,gsp,repository,TEI,German Society of Pennsylvania
0018,pennmuseumarchives,repository,TEI,"University of Pennsylvania Museum of Archaeology and Anthropology, Archives"
0019,uarc,repository,TEI,University of Pennsylvania Archives and Records Center
0016,pennmuseum,repository,TEI,University of Pennsylvania Museum of Archaeology and Anthropology
0020,tdw,repository,Walters TEI,The Walters Art Museum
0026,kislak,repository,TEI,"University of Miami, Jay I. Kislak Collection"
0023,flp,repository,TEI,"Free Library of Philadelphia, Special Collections"
0031,pma,repository,TEI,Philadelphia Museum of Art
0053,folger,repository,TEI,Folger Shakespeare Library
0029,udel,repository,TEI,University of Delaware Library
0047,britlib,repository,TEI,British Library
0052,palmer,repository,TEI,Palmer Family Collection
0030,temple,repository,TEI,"Temple University Libraries, Special Collections Research Center"
0037,villanova,repository,TEI,"Villanova University Libraries, Special Collections"
0038,fandm,repository,TEI,"Franklin & Marshall College Library, Archives & Special Collections"
0028,rosenbach,repository,TEI,"Free Library of Philadelphia, The Rosenbach"
0051,zucker,repository,TEI,Benjamin Zucker Family Ketubah Collection
0048,hmml,repository,Custom,The Hill Museum & Manuscript Library (HMML)
N/A,bibliophilly,curated,N/A,Bibliotheca Philadelphiensis
N/A,genizah,curated,N/A,Cairo Genizah
N/A,indic,curated,N/A,Collection of Indic Manuscripts
N/A,congregations,curated,N/A,Digitizing Philadelphia's Historic Congregations
N/A,medicalhub,curated,N/A,"For the Health of the New Nation: Philadelphia as the Center of American Medical Education, 1746-1868"
N/A,kislakcurated,curated,N/A,Jay I. Kislak Digital Library of the Americas
N/A,muslimworld,curated,N/A,Manuscripts of the Muslim World
N/A,pacscl-diaries,curated,N/A,PACSCL Diaries
