curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
congregations,7039,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v221,0034,TEI,"Pew rents, Christ Church, 1778 September",2019-08-29T15:00:55+00:00,2019-03-19T19:05:13+00:00,2023-02-07T15:45:30+00:00
congregations,9345,0039/MikvehIsrael.Births1843-1886,0039,TEI,"Births, 1843-1886",2019-08-29T15:01:46+00:00,2019-08-26T20:54:10+00:00,2023-02-10T21:18:25+00:00
congregations,9337,0040/ABHS.FBCBaptismCertificateSarahSallows1762,0040,TEI,"Baptism certificate of Sarah Sallows, 1762",2019-08-29T15:59:03+00:00,2019-08-23T13:53:20+00:00,2022-04-01T13:54:44+00:00
congregations,9338,0040/ABHS.FBCJoshuaMoorePoorBook1767-1769,0040,TEI,"Poor book, 1767-1769",2019-08-29T15:59:03+00:00,2019-08-23T14:00:14+00:00,2022-04-01T14:52:59+00:00
congregations,9257,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v222,0034,TEI,"Pew rents, Christ Church, 1779 March",2019-08-29T15:59:03+00:00,2019-08-12T15:02:53+00:00,2023-02-10T15:31:59+00:00
congregations,9258,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v223,0034,TEI,"Pew rents, St. Peter's Church, 1779 March",2019-08-29T15:59:03+00:00,2019-08-12T15:26:41+00:00,2023-02-10T15:33:47+00:00
congregations,9259,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v224,0034,TEI,"Pew rents, Christ Church, 1780 March",2019-08-29T15:59:03+00:00,2019-08-12T17:58:42+00:00,2023-02-10T15:39:36+00:00
congregations,9262,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v225,0034,TEI,"Pew rents, Christ Church, 1780 September",2019-08-29T15:59:03+00:00,2019-08-12T19:01:16+00:00,2023-02-10T15:41:45+00:00
congregations,9260,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v226,0034,TEI,"Pew rents, Christ Church, 1781 March",2019-08-29T15:59:03+00:00,2019-08-12T18:07:55+00:00,2023-02-10T15:43:17+00:00
congregations,9263,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v227,0034,TEI,"Pew rents, St. Peter's Church, 1781 March",2019-08-29T15:59:03+00:00,2019-08-12T19:09:28+00:00,2023-02-10T15:45:23+00:00
congregations,9264,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v228,0034,TEI,"Pew rents, Christ Church and St. Peter's Church, 1781 September",2019-08-29T15:59:03+00:00,2019-08-12T19:14:08+00:00,2023-02-10T15:47:25+00:00
congregations,9265,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v229,0034,TEI,"Pew rents, Christ Church and St. Peter's Church, 1782 March",2019-08-29T15:59:03+00:00,2019-08-12T19:23:03+00:00,2023-02-10T15:49:06+00:00
congregations,9267,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v230,0034,TEI,"Pew rents, Christ Church and St. Peter's Church, 1782 September",2019-08-29T15:59:03+00:00,2019-08-12T19:39:12+00:00,2023-02-10T15:50:43+00:00
congregations,9268,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v231,0034,TEI,"Pew rents, Christ Church and St. Peter's Church, 1783 March, book 2",2019-08-29T15:59:03+00:00,2019-08-12T19:52:03+00:00,2023-02-10T15:52:12+00:00
congregations,9269,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v232,0034,TEI,"Pew rents, Christ Church and St. Peter's Church, 1783 March, book 1",2019-08-29T15:59:03+00:00,2019-08-12T20:08:22+00:00,2023-02-10T15:53:36+00:00
congregations,9270,0034/ChristChurch.AccountingWardensPewRentAccountBooks_v233,0034,TEI,"Pew rents, Christ Church and St. Peter's Church, 1785 March",2019-08-29T15:59:03+00:00,2019-08-12T20:18:21+00:00,2023-02-10T15:55:27+00:00
