curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
genizah,4373,0002/h002,0002,TEI,"Genesis 10:14-12:15, with Masorah magna and parva",2017-10-03T20:07:12+00:00,2017-08-07T19:01:35+00:00,2017-08-08T13:05:41+00:00
genizah,4384,0002/h003,0002,TEI,"Torah Scroll, Bereshit 14:24-15:18",2017-10-03T20:07:13+00:00,2017-08-08T00:55:43+00:00,2017-08-08T13:05:41+00:00
genizah,4389,0002/h004,0002,TEI,"Genesis 27:7-30:16, with Masorah magna and parva",2017-10-03T20:07:13+00:00,2017-08-08T01:16:07+00:00,2017-08-08T13:05:41+00:00
genizah,4375,0002/h005,0002,TEI,Genesis 37:9-35; Genesis 41:24-50,2017-10-03T20:07:13+00:00,2017-08-07T19:11:08+00:00,2017-08-08T13:05:41+00:00
genizah,4377,0002/h006,0002,TEI,Leviticus 1:9-17,2017-10-03T20:07:13+00:00,2017-08-07T19:19:22+00:00,2017-08-08T13:05:41+00:00
genizah,4390,0002/h007,0002,TEI,Leviticus 1:14-3:3,2017-10-03T20:07:13+00:00,2017-08-08T01:17:30+00:00,2017-08-08T13:05:41+00:00
genizah,4391,0002/h008,0002,TEI,Leviticus 11:40-12:7; Leviticus 13:26-42,2017-10-03T20:07:13+00:00,2017-08-08T01:18:49+00:00,2017-08-08T13:05:41+00:00
genizah,4380,0002/h009,0002,TEI,Leviticus 16:18-32,2017-10-03T20:07:13+00:00,2017-08-07T21:49:59+00:00,2017-08-08T13:05:41+00:00
genizah,4385,0002/h010,0002,TEI,"Torah Scroll, Leviticus 16:3-18:1",2017-10-03T20:07:13+00:00,2017-08-08T01:05:57+00:00,2017-08-08T13:05:41+00:00
genizah,4387,0002/h014,0002,TEI,Numbers 8:21-9:4,2017-10-03T20:07:13+00:00,2017-08-08T01:10:52+00:00,2017-08-08T13:05:41+00:00
genizah,4388,0002/h015,0002,TEI,"Numbers 16:30-17:4, with Masorah magna and parva",2017-10-03T20:07:13+00:00,2017-08-08T01:13:42+00:00,2017-08-08T13:05:41+00:00
genizah,4392,0002/h016,0002,TEI,Deuteronomy 1:15-25; Deuteronomy 1:31-36,2017-10-03T20:07:13+00:00,2017-08-08T01:19:26+00:00,2017-08-08T13:05:41+00:00
genizah,4393,0002/h017,0002,TEI,Deuteronomy 1:15-25; Deuteronomy 1:31-36,2017-10-03T20:07:13+00:00,2017-08-08T01:20:36+00:00,2017-08-08T13:05:41+00:00
genizah,4394,0002/h018,0002,TEI,Deuteronomy 5:1-14,2017-10-03T20:07:13+00:00,2017-08-08T01:21:02+00:00,2017-08-08T13:05:42+00:00
genizah,4395,0002/h019,0002,TEI,Deuteronomy 7:17-9:16,2017-10-03T20:07:13+00:00,2017-08-08T01:21:27+00:00,2017-08-08T13:05:42+00:00
genizah,4396,0002/h020,0002,TEI,Joshua 21:6-24:32,2017-10-03T20:07:13+00:00,2017-08-08T01:22:14+00:00,2017-08-08T13:05:42+00:00
genizah,4397,0002/h021,0002,TEI,"1st Kings 1:29-2:13; 1st Kings 7:24-8:10, with Masorah parva (partial)",2017-10-03T20:07:13+00:00,2017-08-08T01:25:13+00:00,2017-08-08T13:05:42+00:00
genizah,4398,0002/h022,0002,TEI,2nd Kings 5:8-13,2017-10-03T20:07:13+00:00,2017-08-08T01:27:05+00:00,2017-08-08T13:05:42+00:00
genizah,4399,0002/h023,0002,TEI,"2nd Kings 23:3-24:3, with Masorah magna and parva (partial)",2017-10-03T20:07:13+00:00,2017-08-08T01:27:32+00:00,2017-08-08T13:05:42+00:00
