curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
indic,1985,0002/mscoll390_item1,0002,TEI,iti prathama astaka prarambhah,2020-03-31T20:20:14+00:00,2016-03-31T17:23:41+00:00,2019-10-10T01:51:53+00:00
indic,6345,0002/mscoll390_item10,0002,TEI,Saptamastaka Prarambhah. Idam pustakam dasaputra gangadharena likhitam,2020-03-31T20:20:14+00:00,2018-04-02T23:49:55+00:00,2019-10-10T05:21:32+00:00
indic,1993,0002/mscoll390_item100,0002,TEI,Ganapatyatharvasirsa,2020-03-31T20:20:14+00:00,2016-04-01T13:41:17+00:00,2019-10-10T01:51:58+00:00
indic,1994,0002/mscoll390_item1000,0002,TEI,Tattvabodha,2020-03-31T20:20:14+00:00,2016-04-01T13:46:42+00:00,2019-10-10T01:52:03+00:00
indic,2033,0002/mscoll390_item1001,0002,TEI,Tattvavivekadipana,2020-03-31T20:20:14+00:00,2016-04-02T03:18:38+00:00,2019-10-10T01:55:19+00:00
indic,1995,0002/mscoll390_item1002,0002,TEI,Tattvaviveka,2020-03-31T20:20:14+00:00,2016-04-01T13:56:38+00:00,2019-10-10T01:52:08+00:00
indic,2034,0002/mscoll390_item1003,0002,TEI,Bhedadhikkara,2020-03-31T20:20:14+00:00,2016-04-02T04:00:20+00:00,2019-10-10T01:55:24+00:00
indic,6209,0002/mscoll390_item1004,0002,TEI,Samksepasariraka.,2020-03-31T20:20:14+00:00,2018-03-20T04:18:27+00:00,2019-10-10T05:11:46+00:00
indic,2035,0002/mscoll390_item1005,0002,TEI,Samksepasariraka.,2020-03-31T20:20:14+00:00,2016-04-02T04:22:27+00:00,2019-10-10T01:55:29+00:00
indic,2036,0002/mscoll390_item1006,0002,TEI,Samksepasariraka.,2020-03-31T20:20:14+00:00,2016-04-02T04:52:59+00:00,2019-10-10T01:55:34+00:00
indic,2037,0002/mscoll390_item1007,0002,TEI,Samksepasariraka.,2020-03-31T20:20:14+00:00,2016-04-02T05:55:49+00:00,2019-10-10T01:55:39+00:00
indic,3105,0002/mscoll390_item1008,0002,TEI,Sarirakamimamsabhasya,2020-03-31T20:20:14+00:00,2016-08-26T00:44:53+00:00,2019-10-10T02:40:31+00:00
indic,3376,0002/mscoll390_item1009,0002,TEI,Sarirakamimamsabhasya.,2020-03-31T20:20:14+00:00,2017-01-24T02:43:29+00:00,2019-10-10T02:55:10+00:00
indic,1996,0002/mscoll390_item101,0002,TEI,Vamanasukta,2020-03-31T20:20:14+00:00,2016-04-01T14:13:06+00:00,2019-10-10T01:52:13+00:00
indic,3377,0002/mscoll390_item1010,0002,TEI,Sarirakamimamsabhasya.,2020-03-31T20:20:14+00:00,2017-01-24T03:58:37+00:00,2019-10-10T02:55:15+00:00
indic,1997,0002/mscoll390_item1011,0002,TEI,Pratyaktatvaviveka,2020-03-31T20:20:14+00:00,2016-04-01T14:17:18+00:00,2019-10-10T01:52:19+00:00
indic,1998,0002/mscoll390_item1012,0002,TEI,Pratyaktatvaviveka,2020-03-31T20:20:14+00:00,2016-04-01T15:04:09+00:00,2019-10-10T01:52:24+00:00
indic,1999,0002/mscoll390_item1013,0002,TEI,Pancakosaviveka,2020-03-31T20:20:14+00:00,2016-04-01T15:41:12+00:00,2019-10-10T01:52:29+00:00
indic,2000,0002/mscoll390_item1014,0002,TEI,Pancakosaviveka,2020-03-31T20:20:14+00:00,2016-04-01T15:51:24+00:00,2019-10-10T01:52:34+00:00
indic,2038,0002/mscoll390_item1015,0002,TEI,Vedantaparibhasa,2020-03-31T20:20:14+00:00,2016-04-02T06:04:15+00:00,2019-10-10T01:55:44+00:00
indic,3010,0002/mscoll390_item1016,0002,TEI,Vedantasikhamani,2020-03-31T20:20:14+00:00,2016-08-13T00:24:10+00:00,2019-10-10T02:33:32+00:00
indic,3378,0002/mscoll390_item1017,0002,TEI,Laghuvakyavrttiprakasika,2020-03-31T20:20:14+00:00,2017-01-24T04:26:48+00:00,2019-10-10T02:55:20+00:00
indic,3379,0002/mscoll390_item1018,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:14+00:00,2017-01-24T05:28:49+00:00,2019-10-10T02:55:25+00:00
indic,3380,0002/mscoll390_item1019,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:14+00:00,2017-01-24T06:58:26+00:00,2019-10-10T02:55:30+00:00
indic,3305,0002/mscoll390_item102,0002,TEI,Dhurtasvamibhasyatika,2020-03-31T20:20:14+00:00,2016-12-06T01:49:22+00:00,2019-10-10T02:52:10+00:00
indic,3381,0002/mscoll390_item1020,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:14+00:00,2017-01-24T07:10:25+00:00,2019-10-10T02:55:35+00:00
indic,3468,0002/mscoll390_item1021,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:14+00:00,2017-02-07T06:12:15+00:00,2019-10-10T03:01:48+00:00
indic,3382,0002/mscoll390_item1022,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:15+00:00,2017-01-24T07:34:31+00:00,2019-10-10T02:55:39+00:00
indic,3383,0002/mscoll390_item1023,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:15+00:00,2017-01-24T07:43:37+00:00,2019-10-10T02:55:44+00:00
indic,3384,0002/mscoll390_item1024,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:15+00:00,2017-01-24T07:48:19+00:00,2019-10-10T02:55:49+00:00
indic,3385,0002/mscoll390_item1025,0002,TEI,Vivaranatattvadipana.,2020-03-31T20:20:15+00:00,2017-01-24T07:55:10+00:00,2019-10-10T02:55:54+00:00
indic,3386,0002/mscoll390_item1026,0002,TEI,Tattvadipana,2020-03-31T20:20:15+00:00,2017-01-24T08:13:10+00:00,2019-10-10T02:56:00+00:00
indic,2039,0002/mscoll390_item1027,0002,TEI,Taittiriyakavarttika tika,2020-03-31T20:20:15+00:00,2016-04-02T06:25:05+00:00,2019-10-10T01:55:49+00:00
indic,3387,0002/mscoll390_item1028,0002,TEI,Taittiriyakavarttika,2020-03-31T20:20:15+00:00,2017-01-24T09:18:47+00:00,2019-10-10T02:56:04+00:00
indic,3388,0002/mscoll390_item1029,0002,TEI,Pancapadika.,2020-03-31T20:20:15+00:00,2017-01-24T09:29:16+00:00,2019-10-10T02:56:09+00:00
indic,3306,0002/mscoll390_item103,0002,TEI,Bodhayanacayanaprayoga,2020-03-31T20:20:15+00:00,2016-12-06T03:50:50+00:00,2019-10-10T02:52:15+00:00
indic,3389,0002/mscoll390_item1030,0002,TEI,Pancakosaviveka,2020-03-31T20:20:15+00:00,2017-01-24T09:33:27+00:00,2019-10-10T02:56:14+00:00
indic,3390,0002/mscoll390_item1031,0002,TEI,Dvaitavivekaprakarana,2020-03-31T20:20:15+00:00,2017-01-24T09:38:36+00:00,2019-10-10T02:56:19+00:00
