curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
kislakcurated,9412,0042/KislakMS135,0042,TEI,Letter from Thomas Jefferson to the Marquis de Lafayette,2019-09-25T20:58:41+00:00,2019-09-25T19:43:57+00:00,2019-09-25T22:16:02+00:00
kislakcurated,9413,0042/KislakMS206,0042,TEI,Sailing Order from Pedro Menendez de Aviles to Don Cristobal de Eraso,2019-09-25T20:58:41+00:00,2019-09-25T20:13:48+00:00,2019-09-25T22:16:02+00:00
kislakcurated,9414,0042/KislakMS244,0042,TEI,Memorial by friar Bartolome de Las Casas to Emperor Charles V and to the Junta of Valladolid,2019-09-25T20:58:41+00:00,2019-09-25T20:21:53+00:00,2019-09-25T22:16:02+00:00
kislakcurated,5173,0026/1996_009_00_0001,0026,TEI,Mapa de San Juan Tolcayuca,2019-09-25T20:58:41+00:00,2017-10-06T13:50:41+00:00,2017-10-07T06:38:15+00:00
kislakcurated,5161,0026/1996_009_00_0002,0026,TEI,Manuscrito Techialoyan de Santa Maria Iztacapan,2019-09-25T20:58:41+00:00,2017-10-04T20:02:36+00:00,2017-10-05T07:00:03+00:00
kislakcurated,5176,0026/2004_003_00_0001,0026,TEI,Mexica men playing Tlachtli,2019-09-25T20:58:41+00:00,2017-10-06T15:37:48+00:00,2017-10-07T06:38:17+00:00
kislakcurated,5186,0026/2010_111_01_0001,0026,TEI,Juan de Silva y Luzia su mujer de color moreno su carta de libertad,2019-09-25T20:58:41+00:00,2017-10-09T15:05:50+00:00,2017-10-09T16:53:02+00:00
kislakcurated,5187,0026/2010_111_02_0001,0026,TEI,Obligacion de Jeronimo de Silva contra Juan de Silva y su mujer,2019-09-25T20:58:41+00:00,2017-10-09T15:07:42+00:00,2017-10-09T16:53:02+00:00
kislakcurated,5188,0026/2010_111_03_0001,0026,TEI,Obligacion de Jeronimo de Silva contra Juan De Silva,2019-09-25T20:58:41+00:00,2017-10-09T15:11:26+00:00,2017-10-09T16:53:02+00:00
kislakcurated,5189,0026/2010_111_04_0001,0026,TEI,Obligacion de Juan de Fregenal contra Juan de Silva; Obligacion de Pedro de Zarate contra Juan de Fregenal,2019-09-25T20:58:41+00:00,2017-10-09T15:15:45+00:00,2017-10-09T16:53:02+00:00
kislakcurated,9410,0026/KIS0001000046,0026,TEI,Letter from Francisco de Garay to Ochoa de Isasaga,2019-09-25T20:58:41+00:00,2019-09-24T15:34:47+00:00,2019-09-24T17:44:16+00:00
kislakcurated,9409,0026/KIS0001000066,0026,TEI,Derrotero al estrecho de Magellanes,2019-09-25T20:58:41+00:00,2019-09-24T15:15:10+00:00,2019-09-24T17:44:16+00:00
kislakcurated,9411,0026/KIS0001000107,0026,TEI,Moquegua Manifesto,2019-09-25T20:58:41+00:00,2019-09-24T15:39:00+00:00,2019-09-24T17:44:16+00:00
