curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
medicalhub,9862,0012/rush_mss_volume_281,0012,TEI,"Notes by Benjamin Rush for Introductory lecture to a course of lectures on the theory and practice of physic. Delivered in the College of Philadelphia before the students and trustees of the College, November 2nd 1789.",2020-06-09T14:41:36+00:00,2020-06-08T14:49:38+00:00,2020-06-09T09:23:17+00:00
medicalhub,9863,0012/rush_mss_volume_135,0012,TEI,Manuscript work by Benjamin Rush on Hygiene.,2020-06-09T14:41:44+00:00,2020-06-08T15:06:59+00:00,2020-06-09T09:23:17+00:00
medicalhub,9865,0012/rush_mss_volume_110,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine.,2020-06-09T14:42:38+00:00,2020-06-09T12:34:41+00:00,2020-06-09T15:05:13+00:00
medicalhub,9866,0012/rush_mss_volume_111,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-09T14:42:38+00:00,2020-06-09T13:46:19+00:00,2020-06-09T15:05:13+00:00
medicalhub,9867,0012/rush_mss_volume_112,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-09T15:31:53+00:00,2020-06-10T23:29:48+00:00
medicalhub,9868,0012/rush_mss_volume_113,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-09T16:41:21+00:00,2020-06-10T23:29:49+00:00
medicalhub,9870,0012/rush_mss_volume_114,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-10T14:51:37+00:00,2020-06-10T23:29:49+00:00
medicalhub,9871,0012/rush_mss_volume_115,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-10T15:27:51+00:00,2020-06-10T23:29:49+00:00
medicalhub,9872,0012/rush_mss_volume_116,0012,TEI,"Lecture notes by Benjamin Rush on the Practice of medicine: Gastritis, enteritis, splenitis, nephritis, cystitis, otalgia, hemorrhoids, opthalmia, phlogasis, gangrene, sphacelus, paronychia, anthrax, burns and frozen, hemorrhages, hemoptysis, epitasis, homatymensis, and gout.",2020-06-10T19:52:17+00:00,2020-06-10T16:21:06+00:00,2020-06-10T23:29:49+00:00
medicalhub,9873,0012/rush_mss_volume_117,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-10T17:08:20+00:00,2020-06-10T23:29:49+00:00
medicalhub,9874,0012/rush_mss_volume_118,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-10T18:42:43+00:00,2020-06-10T23:29:49+00:00
medicalhub,9875,0012/rush_mss_volume_119,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-10T19:52:17+00:00,2020-06-10T19:29:35+00:00,2020-06-10T23:29:49+00:00
medicalhub,9876,0012/rush_mss_volume_120,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-12T01:00:38+00:00,2020-06-11T13:37:25+00:00,2020-06-11T22:58:09+00:00
medicalhub,9877,0012/rush_mss_volume_121,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-12T01:00:38+00:00,2020-06-11T15:17:30+00:00,2020-06-11T22:58:09+00:00
medicalhub,9878,0012/rush_mss_volume_122,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-12T01:00:38+00:00,2020-06-11T16:17:47+00:00,2020-06-11T22:58:09+00:00
medicalhub,9879,0012/rush_mss_volume_123,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-12T01:00:38+00:00,2020-06-11T17:15:12+00:00,2020-06-11T22:58:09+00:00
medicalhub,9880,0012/rush_mss_volume_124,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-12T01:00:39+00:00,2020-06-11T19:18:25+00:00,2020-06-11T22:58:09+00:00
medicalhub,9882,0012/rush_mss_volume_125,0012,TEI,Lecture notes by Benjamin Rush on the Practice of medicine:,2020-06-12T01:00:39+00:00,2020-06-12T00:38:35+00:00,2020-06-12T22:19:27+00:00
medicalhub,9883,0012/rush_mss_volume_126,0012,TEI,"Lecture notes by Benjamin Rush on an Introduction to a course of clinical lectures, delivered 1791-1794.",2020-06-16T12:23:50+00:00,2020-06-15T13:20:47+00:00,2020-06-15T22:35:34+00:00
medicalhub,9884,0012/rush_mss_volume_127,0012,TEI,Lecture notes by Benjamin Rush on an Introduction to a course of clinical lectures.,2020-06-16T12:23:50+00:00,2020-06-15T13:49:37+00:00,2020-06-15T22:35:34+00:00
medicalhub,9885,0012/rush_mss_volume_128,0012,TEI,"Lecture notes by Benjamin Rush on An inaugural lecture upon the necessity of combining theory and practice in medicine, delivered November 7, 1791.",2020-06-16T12:23:50+00:00,2020-06-15T14:50:31+00:00,2020-06-15T22:35:34+00:00
medicalhub,9887,0012/rush_mss_volume_129,0012,TEI,Lecture notes by Benjamin Rush on Therapeuticks sic.,2020-06-16T12:23:50+00:00,2020-06-15T17:59:12+00:00,2020-06-15T22:35:34+00:00
medicalhub,9888,0012/rush_mss_volume_130,0012,TEI,Lecture notes by Benjamin Rush on Therapeuticks sic.,2020-06-16T12:23:50+00:00,2020-06-15T19:54:32+00:00,2020-06-15T22:35:34+00:00
medicalhub,9889,0012/rush_mss_volume_131,0012,TEI,Lecture notes by Benjamin Rush on Therapeuticks sic.,2020-06-16T12:23:50+00:00,2020-06-15T21:06:16+00:00,2020-06-15T22:35:34+00:00
medicalhub,9890,0012/rush_mss_volume_132,0012,TEI,Lecture notes by Benjamin Rush on Therapeuticks sic.,2020-06-16T12:23:50+00:00,2020-06-16T00:26:28+00:00,2020-06-16T22:35:04+00:00
medicalhub,9891,0012/rush_mss_volume_133,0012,TEI,Lecture notes by Benjamin Rush on the Principles of the materia medica.,2020-06-16T12:23:50+00:00,2020-06-16T01:15:08+00:00,2020-06-16T22:35:04+00:00
medicalhub,9892,0012/rush_mss_volume_134,0012,TEI,Lecture notes by Benjamin Rush on the Principles of the materia medica.,2020-06-16T12:23:50+00:00,2020-06-16T01:46:40+00:00,2020-06-16T22:35:04+00:00
medicalhub,9893,0012/rush_mss_volume_136,0012,TEI,Lecture notes by Benjamin Rush on hygiene.,2020-06-16T12:23:50+00:00,2020-06-16T01:58:53+00:00,2020-06-16T22:35:04+00:00
medicalhub,9894,0012/rush_mss_volume_137,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-16T17:42:19+00:00,2020-06-16T22:35:04+00:00
medicalhub,9895,0012/rush_mss_volume_138,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-16T17:57:57+00:00,2020-06-16T22:35:04+00:00
medicalhub,9896,0012/rush_mss_volume_139,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-16T18:22:10+00:00,2020-06-16T22:35:04+00:00
medicalhub,9897,0012/rush_mss_volume_140,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-16T18:42:45+00:00,2020-06-16T22:35:04+00:00
medicalhub,9898,0012/rush_mss_volume_141,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T00:43:08+00:00,2020-06-17T19:41:13+00:00
medicalhub,9899,0012/rush_mss_volume_142,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T01:02:05+00:00,2020-06-17T19:41:13+00:00
medicalhub,9900,0012/rush_mss_volume_143,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T01:14:52+00:00,2020-06-17T19:41:13+00:00
medicalhub,9901,0012/rush_mss_volume_144,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T01:37:55+00:00,2020-06-17T19:41:13+00:00
medicalhub,9902,0012/rush_mss_volume_145,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T02:01:02+00:00,2020-06-17T19:41:13+00:00
medicalhub,9903,0012/rush_mss_volume_146,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T02:12:28+00:00,2020-06-17T19:41:13+00:00
medicalhub,9904,0012/rush_mss_volume_147,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-17T03:04:32+00:00,2020-06-17T02:45:19+00:00,2020-06-17T19:41:13+00:00
medicalhub,9905,0012/rush_mss_volume_148,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-17T12:22:30+00:00,2020-06-17T19:41:13+00:00
medicalhub,9906,0012/rush_mss_volume_149,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-17T12:52:03+00:00,2020-06-17T19:41:13+00:00
medicalhub,9907,0012/rush_mss_volume_150,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-17T13:29:37+00:00,2020-06-17T19:41:13+00:00
medicalhub,9908,0012/rush_mss_volume_151,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-17T14:04:57+00:00,2020-06-17T19:41:13+00:00
medicalhub,9910,0012/rush_mss_volume_152,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-18T12:30:04+00:00,2020-06-18T14:58:42+00:00
medicalhub,9911,0012/rush_mss_volume_153,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-18T13:03:13+00:00,2020-06-18T14:58:42+00:00
medicalhub,9912,0012/rush_mss_volume_154,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-18T14:13:17+00:00,2020-06-18T22:47:50+00:00
medicalhub,9913,0012/rush_mss_volume_155,0012,TEI,Lecture notes by Benjamin Rush on Pathology:,2020-06-18T15:12:24+00:00,2020-06-18T14:48:10+00:00,2020-06-18T22:47:50+00:00
