curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
muslimworld,6847,0032/ms_or_015,0032,TEI,Sharh-i sad kalimah-i Batlamiyus.,2018-12-19T15:33:38+00:00,2018-12-18T21:36:56+00:00,2019-01-25T21:41:18+00:00
muslimworld,6849,0032/ms_or_019,0032,TEI,Panjah bab-i sultani bi-`ilm-i usturlab.,2018-12-19T19:00:13+00:00,2018-12-19T17:42:27+00:00,2019-01-28T14:43:05+00:00
muslimworld,6850,0032/ms_or_024,0032,TEI,Calendar for year 1064 AH,2018-12-19T19:00:26+00:00,2018-12-19T18:07:53+00:00,2019-01-28T14:43:12+00:00
muslimworld,6851,0032/ms_or_025,0032,TEI,Kitab al-ukar.,2018-12-19T19:00:40+00:00,2018-12-19T18:10:47+00:00,2019-01-28T14:43:19+00:00
muslimworld,6852,0032/ms_or_032,0032,TEI,Treatise on composing letters,2018-12-19T19:00:49+00:00,2018-12-19T18:23:42+00:00,2019-01-28T14:43:25+00:00
muslimworld,6853,0032/ms_or_044,0032,TEI,Kitab al-kurah al-mutaharrikah /,2018-12-19T19:00:55+00:00,2018-12-19T18:46:11+00:00,2019-12-03T16:32:23+00:00
muslimworld,6854,0032/ms_or_046,0032,TEI,Sharh-i `asa-yi mukhtari`-i humayun padshah. Ganj-i nahan khanah-i hayy-i qadim.,2018-12-19T19:01:03+00:00,2018-12-19T18:49:22+00:00,2019-01-28T14:43:40+00:00
muslimworld,6865,0032/ms_or_016,0032,TEI,On charms and talismans.,2019-02-06T20:54:43+00:00,2019-02-04T17:05:10+00:00,2019-02-04T23:21:47+00:00
muslimworld,6866,0032/ms_or_021,0032,TEI,al-Mulakhkhas fi al-hay'ah.,2019-02-06T20:54:43+00:00,2019-02-05T19:40:30+00:00,2019-02-05T23:32:48+00:00
muslimworld,6867,0032/ms_or_030,0032,TEI,Usul al-handasah wa-al-hisab /,2019-02-06T20:54:43+00:00,2019-02-05T20:51:33+00:00,2019-02-05T23:32:48+00:00
muslimworld,6868,0032/ms_or_033,0032,TEI,Khulasat al-hisab.,2019-02-06T20:54:43+00:00,2019-02-05T22:06:26+00:00,2019-02-05T23:32:48+00:00
muslimworld,6869,0032/ms_or_036,0032,TEI,Badi` al-hisab.,2019-02-07T20:10:20+00:00,2019-02-06T15:48:36+00:00,2019-02-06T23:44:45+00:00
muslimworld,6870,0032/ms_or_037,0032,TEI,Bada'i` al-funun.,2019-02-07T20:10:20+00:00,2019-02-06T16:30:43+00:00,2019-02-06T23:44:45+00:00
muslimworld,6871,0032/ms_or_038,0032,TEI,Lilavati.,2019-02-07T20:10:21+00:00,2019-02-06T17:08:21+00:00,2019-02-06T23:44:45+00:00
muslimworld,6874,0032/ms_or_043,0032,TEI,Sharh ashkal al-ta'sis.,2019-02-07T20:10:21+00:00,2019-02-06T17:55:49+00:00,2019-02-06T23:44:45+00:00
muslimworld,6872,0032/ms_or_039,0032,TEI,Kitab-i Surkhab dar `ilm-i raml.,2019-02-07T20:11:26+00:00,2019-02-06T17:45:29+00:00,2019-02-06T23:44:45+00:00
muslimworld,6873,0032/ms_or_041,0032,TEI,Sab` samawat li-sirr sama'i.,2019-02-11T16:17:31+00:00,2019-02-06T17:52:50+00:00,2019-03-18T16:01:11+00:00
