curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
pacscl-diaries,1007,0012/UEngMaitland12049_F,0012,TEI,"The history of London, from its foundation by the Romans, to the present time. :Containing a faithful relation of the publick transactions of the citizens; accounts of the several parishes; parallels between London and other great cities; its governments, civil, ecclesiastical and military; commerce, state of learning, charitable foundations, &c. With the several accounts of Westminster, Middlesex, Southwark, and other parts within the Bill of Mortality. In nine books. The whole illustrated with a variety of fine cuts. With a compleat index.",2017-02-21T16:20:40+00:00,2015-11-04T20:03:36+00:00,2015-11-05T16:10:33+00:00
pacscl-diaries,1013,0009/3030_v1,0009,TEI,"Emilie Davis diary, 1863",2017-02-21T16:36:58+00:00,2015-11-05T17:35:44+00:00,2015-11-06T00:04:19+00:00
pacscl-diaries,1010,0009/3030_v3,0009,TEI,"Emilie Davis diary, 1865",2017-02-21T16:36:58+00:00,2015-11-05T13:41:38+00:00,2015-11-05T16:10:31+00:00
pacscl-diaries,1022,0009/3030_v2,0009,TEI,"Emilie Davis diary, 1864",2017-02-21T16:36:58+00:00,2015-11-05T21:06:49+00:00,2015-11-06T00:04:19+00:00
pacscl-diaries,961,0011/1805_045,0011,TEI,George R. Snowden diary,2017-02-21T16:47:33+00:00,2015-10-26T13:11:31+00:00,2015-10-29T20:38:40+00:00
pacscl-diaries,829,0011/XI_2_Lincolniana,0011,TEI,Lincoln assassination testimony reported by James Tanner,2017-02-21T16:47:33+00:00,2015-09-11T16:25:22+00:00,2015-10-07T00:31:20+00:00
pacscl-diaries,966,0011/1805_003_042,0011,TEI,Frederick J. Sorber pocket diary,2017-02-21T16:47:33+00:00,2015-10-26T18:20:57+00:00,2015-10-29T20:38:40+00:00
pacscl-diaries,971,0011/1805_003_057,0011,TEI,John N. Parker pocket diary,2017-02-21T16:47:33+00:00,2015-10-27T14:38:56+00:00,2015-10-29T20:38:40+00:00
pacscl-diaries,973,0011/UL_XI_4_3,0011,TEI,John M. Butler diary,2017-02-21T16:47:33+00:00,2015-10-27T18:38:03+00:00,2015-10-29T20:38:40+00:00
pacscl-diaries,2291,0015/1965_076,0015,TEI,Benjamin Etting journal of voyages to Canton,2017-02-21T21:16:20+00:00,2016-04-21T16:39:07+00:00,2016-04-22T00:00:43+00:00
pacscl-diaries,2289,0015/1978_005_1,0015,TEI,Steam Sloop Wyoming logbook and journal,2017-02-21T21:16:20+00:00,2016-04-21T13:39:40+00:00,2016-04-22T00:00:43+00:00
pacscl-diaries,2287,0015/1978_005_2,0015,TEI,Steam Sloop Wyoming logbook and journal,2017-02-21T21:16:20+00:00,2016-04-21T13:08:06+00:00,2016-04-22T00:00:44+00:00
pacscl-diaries,2252,0015/89_52_1,0015,TEI,Log of the ship United States,2017-02-21T21:16:20+00:00,2016-04-20T17:33:03+00:00,2016-04-20T22:16:12+00:00
pacscl-diaries,681,0003/12H_1_1,0003,TEI,Diary of Mary Ayer,2017-02-22T20:32:54+00:00,2015-08-14T12:31:06+00:00,2015-10-07T00:31:18+00:00
pacscl-diaries,669,0003/12H_2_5,0003,TEI,Helen Griffith Daily Diary,2017-02-22T20:32:54+00:00,2015-08-13T13:00:07+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,686,0003/9ls_30_v09,0003,TEI,"Mary Whitall Worthington Diary, Volume 9",2017-02-22T20:32:54+00:00,2015-08-14T15:57:28+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,703,0003/9ls_30_v10,0003,TEI,"Mary Whitall Worthington Diary, Volume 10",2017-02-22T20:32:54+00:00,2015-08-14T18:54:04+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,774,0003/9ls_30_v11,0003,TEI,"Mary Whitall Worthington Diary, Volume 11",2017-02-22T20:32:54+00:00,2015-08-24T19:47:20+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,775,0003/9ls_30_v12,0003,TEI,"Mary Whitall Worthington Diary, Volume 12",2017-02-22T20:32:54+00:00,2015-08-25T13:37:11+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,662,0004/MC.00.001,0004,TEI,Journal of a Trip to South America,2017-02-22T20:32:54+00:00,2015-08-12T19:04:26+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,663,0004/MC.00.056,0004,TEI,Rebecca Thomas Recipe Book,2017-02-22T20:32:54+00:00,2015-08-12T19:19:28+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,798,0008/MSS003044,0008,TEI,Journal of a Visit to the Seneca Indians,2017-02-22T20:32:54+00:00,2015-08-31T13:49:18+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,803,0008/MSS003111,0008,TEI,"Notes, on a visit to Several Tribes of Indians",2017-02-22T20:32:54+00:00,2015-08-31T15:40:43+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,796,0008/MSS040,0008,TEI,Journal or Visit to Upper Canada and Parts Adjacent,2017-02-22T20:32:54+00:00,2015-08-31T13:31:46+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,2523,0017/1992_01,0017,TEI,Arno Silge Diary,2017-02-22T20:32:54+00:00,2016-05-19T16:35:58+00:00,2016-05-20T18:29:04+00:00
pacscl-diaries,640,0005/a119_001,0005,TEI,Mary Fowler-Thompson journal,2017-02-22T20:32:54+00:00,2015-08-11T17:56:46+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,772,0005/a169_002,0005,TEI,Mary T. McGavran student notes and diary,2017-02-22T20:32:54+00:00,2015-08-24T18:38:40+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,637,0005/a189_001,0005,TEI,What did she say?,2017-02-22T20:32:54+00:00,2015-08-11T16:19:36+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,1028,0010/00_J91_42_P4529j,0010,TEI,Journal of Charles Ashmead Schaeffer,2017-02-22T20:32:54+00:00,2015-11-09T13:51:43+00:00,2015-11-09T22:46:55+00:00
pacscl-diaries,1019,0010/PM95_Z11,0010,TEI,Autograph Album of Henry Melchior Muhlenberg,2017-02-22T20:32:54+00:00,2015-11-05T20:33:16+00:00,2015-11-06T00:04:20+00:00
pacscl-diaries,2524,0018/PU_Mu1080,0018,TEI,Catalogue of the Stone and Terra Cotta Implements and Ornaments of the North American Mound Builders,2017-02-22T20:32:54+00:00,2016-05-19T18:37:19+00:00,2016-05-20T18:29:10+00:00
pacscl-diaries,794,0006/MC_1008_23_4,0006,TEI,"A series of letters written on a Journey to the Oneida, Onondago, and Cayuga Tribes of the Five Nations ... undertaken by Isaiah Rowland, James Cooper, John Pierce, and Joseph Sansom",2017-02-22T20:32:54+00:00,2015-08-28T19:32:12+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,780,0006/MC_950,0006,TEI,Visit to the Indians in 1798,2017-02-22T20:32:54+00:00,2015-08-25T19:49:34+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,644,0006/MC_968_11_4_v01,0006,TEI,"William Allinson diary, volume 1",2017-02-22T20:32:54+00:00,2015-08-11T18:32:31+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,646,0006/MC_968_11_4_v02,0006,TEI,"William Allinson diary, volume 2",2017-02-22T20:32:54+00:00,2015-08-11T19:04:20+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,648,0006/MC_968_11_4_v03,0006,TEI,"William Allinson diary, volume 3",2017-02-22T20:32:54+00:00,2015-08-11T19:40:51+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,650,0006/MC_975_01_003,0006,TEI,Some account of our journey to Cannandaigue,2017-02-22T20:32:54+00:00,2015-08-12T12:43:47+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,660,0006/MC_975_01_078,0006,TEI,Joel Swayne journal,2017-02-22T20:32:54+00:00,2015-08-12T18:05:07+00:00,2015-10-07T00:31:19+00:00
pacscl-diaries,997,0013/940_47673_k748h,0013,TEI,"History of Hospital Train no. 52 and its personnel : American Expeditionary Forces, France, 1917-1919",2017-02-22T20:32:54+00:00,2015-11-02T21:01:47+00:00,2015-11-05T16:10:31+00:00
pacscl-diaries,1001,0013/973_781_Sn62_v01,0013,TEI,Civil War diaries,2017-02-22T20:32:54+00:00,2015-11-04T16:00:23+00:00,2015-11-05T16:10:31+00:00
pacscl-diaries,1003,0013/973_781_Sn62_v02,0013,TEI,Civil War diaries,2017-02-22T20:32:54+00:00,2015-11-04T18:02:53+00:00,2015-11-05T16:10:31+00:00
