shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
"Islamic Manuscripts, Third Series no. 870",Commentary on Ptolemy's Almagest.,"","","","",18th century,"",Data/0050/islamic_mss_third_series_no_00870/data/islamic_mss_third_series_no_00870_TEI.xml
"Islamic Manuscripts, Garrett no. 225Y",Fatwá. Risālat al-Naqshbandīyah ... etc..|فتوى. رسالة النقشبندية,"Table of contents|Verses of poetry|Several short excerpts|Fatwá Abū al-Suʻūd Afandī|Risālat al-Naqshbandīyah|Waṣāyā|Nuktah sabʻah ḥākim fī waqt sabʻah|Several short texts in Arabic and Ottoman Turkish|Verses|Risālah fī bayān iṣṭilāḥāt ahl al-ḥadīth|Taskhīr-i kabīr or Taskhīr-i qulūb|Ṭabaqāt al-tābiʻīn min Kitāb al-Itqān fī ʻulūm al-Qurʼān|Several prayers, some for travelers|[Risālah fī bayān ṭabaqāt al-masāʼil]|Fī ziyādat al-ʻumr wa-nuqṣānihi bi-al-ʻamal|Several short texts in prose and verse|Waṣiyatʹnāmah|Several ḥadīth|Mā ruwiya ʻan Ibn ʻAbbās fī tartīb al-anbiyāʼ|Names of the pre-Islamic Kings|Jāmiʻ al-laṭāʼif wa-kāshif al-asrār|Kitāb ʻUrf al-taʻrīf bi-al-mawlid al-sharīf|Kitāb al-Indhār bi-wafāt al-nabī al-muṣṭafá al-mukhtār|[Risālat al-saqīfah]|Risālah fī aḥkām al-sabb|Waṣiyat al-Sayyid al-Sharīf|Kitāb al-Munabbihāt li-istiʻdād yawm al-mīʻād|Qaṣīdah|Fiqh al-Kaydānī|[Risālah fī ṭabaqāt al-fuqahāʼ]|Risālah fī jawāz al-dhikr al-jahrī wa-istijābih|Risālah fī al-aḥādīth al-wāridah fī ḥuqūq al-zawj ʻalá al-zawj [sic] bi-al-riwāyah al-ṣaḥīḥah|Short texts on dhikr|Several excerpts on the Kalimat al-tawḥīd|Anonymous commentary on al-ʻAḍudīyah|Risālah fī labs al-maṣbūgh|Sharḥ ʻAlī al-Qārī|al-Marātib al-khams al-qalbīyah|Short saying attributed to Ibn Sīnā on girls of different ages|Three short texts on the Qurʼān and ḥadīth|Risālah fī ḥaqq al-Khiḍr ʻalayhi al-salām|Risālah min ʻilm al-muḥādarah","Abū al-Saʻūd Muḥammad ibn Muḥammad, 1492 or 1493-1574 or 1575|Suyūṭī, 1445-1505|Ibn Ḥajar al-ʻAsqalānī, Aḥmad ibn ʻAlī, 1372-1449|Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 2-1762 or 3|Khādimī, Muḥammad ibn Muṣṭafá, 1701 or 2-1762 or 3|Maḥmūd ibn Muḥammad, 15th cent.?|Qārī al-Harawī, ʻAlī ibn Sulṭān Muḥammad, d. 1605 or 6|Ibn Dāwūd, ʻAbd al-Raḥmān ibn Abī Bakr, 1380 or 81-1452|Ibn al-Jazarī, Muḥammad ibn Muḥammad, 1350-1429|Abū Ḥayyān al-Tawḥīdī, ʻAlī ibn Muḥammad, active 10th century|Abū al-Saʻūd Muḥammad ibn Muḥammad, 1492 or 1493-1574 or 1575|Ali Çelebi, Kınalızade, 1510-1571|Avicenna, 980-1037|Kemalpaşazade, 1468 or 9-1534|Kemalpaşazade, 1468 or 9-1534|Hüsrev, Molla, d. 1480|Jurjānī, ʻAlī ibn Muḥammad, al-Sayyid al-Sharīf, 1340-1413|Samarqandī, Ḥusayn ibn Ḥasan, active 16th century|Hüsameddin Hüseyn Efendi, -1519 or 1520|Kaydānī|Başmakcızade, ʻAbd al-Salām, active 18th century","",ara,1765 or 1766,"",Data/0050/islamic_mss_garrett_no_00225Y/data/islamic_mss_garrett_no_00225Y_TEI.xml
"Islamic Manuscripts, Garrett no. 3508Y",Kitāb Mubāriz al-aqrān fī takhmīs al-Muʻallaqāt.|كتاب مبارز الاقران في تخميس المعلقات,Reading statement and note|Title page|Preamble|[Incomplete poem]|Qaṣīdat Ṭarafah|Qaṣīdat Zuhayr|Qaṣīdat Labīd|Qaṣīdat ʻAntarah|Qaṣīdat al-Ḥarith|Qaṣīdat ʻAmr|Qaṣīdat al-Aʻshā|Qaṣīdat al-Nābighah|Colophon|Reading statements,"Ibn Daftarkhān, ʻAlī ibn Muḥammad, 1193-1257","",ara,between 1257 and 1323,"",Data/0050/islamic_mss_garrett_no_03508Y/data/islamic_mss_garrett_no_03508Y_TEI.xml
"Islamic Manuscripts, Garrett no. 1548Y",Ahlak-i alâî|اخلاق علائي,notes|[Text 2]|[Text 3],"Ali Çelebi, Kınalızade, 1510-1571",In Ottoman Turkish and Arabic,ota,1589,"",Data/0050/islamic_mss_garrett_no_01548Y/data/islamic_mss_garrett_no_01548Y_TEI.xml
"Islamic Manuscripts, Garrett no. 93G",Manāfiʻ-i kalāgh ...|منافع کلاغ,"","Ibn Bakhtīshūʻ, ʻUbayd Allāh ibn Jibrāʾīl",Persian,per,between 1275 and 1299,"",Data/0050/islamic_mss_garrett_no_00093G/data/islamic_mss_garrett_no_00093G_TEI.xml
"Islamic Manuscripts, Garrett no. 3520Y",Kitāb Naẓm al-durar al-sanīyah fī al-siyar al-zakīyah /|كتاب نظم الدرر السنية في السير الزكية,"","ʻIrāqī, ʻAbd al-Raḥīm ibn al-Ḥusayn, 1325-1404","",ara,before 1389,"",Data/0050/islamic_mss_garrett_no_03520Y/data/islamic_mss_garrett_no_03520Y_TEI.xml
"Islamic Manuscripts, New Series no. 1718",Vaka-yi Kerbela|[وقعة كربلاء],Ownership statement|Vaka-yi Kerbela|Bāb 1|Bāb 2|Bāb 3|Bāb 4|Bāb 5|Bāb 6|Bāb 7|Bāb 8|Bāb 9|Bāb 10|Khātimah|Mersiye,Edhem,In Ottoman Turkish,ota,1603,"",Data/0050/islamic_mss_new_series_no_01718/data/islamic_mss_new_series_no_01718_TEI.xml
"Islamic Manuscripts, Third Series no. 388",Hâzâ Kitab-ı Sabhe-yi sıbyan.|هذا كتاب سبحه صبىان,"","",In Ottoman Turkish,ota,1826,"",Data/0050/islamic_mss_third_series_no_00388/data/islamic_mss_third_series_no_00388_TEI.xml
"Islamic Manuscripts, Third Series no. 254",Kitāb-i Jāvīdān-i durr-i yatīm ast.|کتاب جاوىدان در ىتىم است,List of contents|Key to meanings|Short paragraph|Preamble|Kitāb-i Jāvīdān-i durr-i yatīm ast|Verse conclusion|Colophons|Verses/Human figure,"Faz̤l Allāh Astarābādī, 1340-1394",In Ottoman Turkish,ota,1807 or 1808,"",Data/0050/islamic_mss_third_series_no_00254/data/islamic_mss_third_series_no_00254_TEI.xml
"Islamic Manuscripts, Third Series no. 584e","Letters and documents, 1106-1497",Item 1|Item 2|Item 3|Item 4|Item 5|Item 6|Item 7|Item 8|Item 10|Item 11|Item 12|Item 14|Item 15|Item 16|Item 17|Item 18|Item 19|Item 20a|Item 20b|Item 21|Item 22a|Item 22b|Item 23|Item 24|Item 25|Item 27|Item 28|Item 30|Item 31|Item 32|Item 33|Item 34|Item 35|Item 36|Item 37|Item 38|Item 39|Item 40|Item 41|Item 42|Item 43|Item 44,"Michaeliʹdes, George Anastase, 1900-1973","",ara,between 11-- and 14--,Egypt,Data/0050/oversize_islamic_mss_third_series_no_00584e/data/oversize_islamic_mss_third_series_no_00584e_TEI.xml
